PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,Patrick,Dewhurst,think,execution,ask,forum,use,question,know,state,hall,candidate,preside,dewhurst,debate,might,global,warming,dress,side,climate,change,Texas,tell,tea,party,tuesday,regent,ought,describe,effort,influence,legislator,gov,need,event,impeachment,trial,lieutenant,governor,role,president,last,release,mental,health,issue,consider,execute,death,inmate,fire,squad,without,shirt,tend,talk,zero,applause,person,destroy,handle,well,condemned,lethal,schedule,counsel,die,cocktail,effective,story,Hall,David_Dewhurst,Cranberg,Oklahoma,sen,dan,patrick,central,texas,night,embattle,wallace,l.,jr.,impeach,ferret,undue,allegedly,friend,relative,ut,school,law,lt,sidestepp,maintain,neutrality,lead
,17,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 2014 Tuesday",15 of 89 DOCUMENTS,Austin American-Statesman (Texas),Perry blasts new EPA carbon rules,Asher Price American-Statesman Staff,MAIN; Pg. A1,,960 words,,,"June 3, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,percent,state,Texas,plant,proposal,energy,power,gas,carbon,rule,coal,Obama,cut,pollution,environmental,plan,electricity,go,way,wind,coal_fired,Austin_Energy,EPA,federal,monday,change,rate,source,emission,make,natural,economy,flexibility,work,governor,nation,group,climate,yet,utility,administration,hit,rural,cooperative,run,regulation,lead,greenhouse,open,public,give,reach,new,solar,technology,cap,question,appear,mix,health,river,authority,rely,clean,without,reliability,cost,key,goal,2013,nuclear,Central_Texas,American,LCRA,blast,2005,level,2030,welcome,sweeping,address,gov,direct,assault,among,likely,hardest,mile,southeast,supplies,electric,around,lower,jointly,early,tell,propose,affect,operation
,13,12,11,10,9,9,7,7,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2014 Friday",16 of 89 DOCUMENTS,Austin American-Statesman (Texas),"Council vote near on Decker, Fayette",Lilly Rockwell American-Statesman Staff,METRO; Pg. B1,,559 words,,,"December 15, 2014",ENGLISH,,An article on Page B1 of Friday's Metro & State section about Austin Energy incorrectly characterized how the utility will end its share of the Fayette coal plant. Austin Energy is investigating ways to close its share of the plant by 2022.,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,plant,gas,new,power,goal,renewable,energy,council,Austin_Energy,percent,plan,change,source,study,member,City_Council,vote,include,decker,coal,proposal,aim,victory,group,lobbying,contribute,climate,build,independent,role,biomass,try,people,coalition,ratepayer,set,generate,Fayette,Martinez,debate,scrutiny,poise,late,thursday,major,replace,three,500,million,ramp,sell,share,early,2022,press,time,yet,tabl,issue,take,matter,agenda,within,rest,efficient,site,nuclear,way,environmental,beyond,campaign,close,emit,greenhouse,hard,part,argue,need,mix,supplies,work,sun,shine,wind,blowing,help,keep,rate,measure,provide,immediate,green,light,conduct,determine,make,economic,sense,disagreement
,13,9,9,7,6,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 25, 2014 Friday",24 of 89 DOCUMENTS,Austin American-Statesman (Texas),Incentive funds' future debated,Laylan Copelin American-Statesman Staff,MAIN; Pg. A1,,885 words,,,"April 25, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,state,Texas,economic,fund,job,incentive,development,governor,company,startup,business,hearing,technology,invest,wage,process,thursday,deal,compete,site,take,encourage,include,area,manufacturing,emerge,change,million,locate,next,question,university,Round_Rock,Perry,Enterprise_Fund,application,money,chance,landing,committee,tell,vice,president,week,opportunity,competition,several,topic,effectiveness,past,emphasize,400,new,lieutenant,least,selector,climate,director,create,long,instead,average,help,poorer,record,Austin,Davis,Taylor,North_Carolina,Porter,finalist,"1,000",cybersecurity,cumbersome,jeopardize,legislative,time,kill,ben,white,still,hunt,dub,project,cranberry,detail,potential,available,city,offer,matter,gov,team,victory,lap,term,run,discuss,fall
