PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,Roberts,district,development,property,make,family,Salt_Lick,call,robert,local,fundraiser,benefit,go,Hays_County,wine,grape,restaurant,grow,official,create,work,host,drive,road,campaign,special,Driftwood,driftwood,own,use,environmental,sell,party,space,2009,around,tax,back,state,former,political,way,think,try,open,developer,rm,1826,project,manning,Scott_Roberts,Hill_Country,Onion_Creek,vineyard,plan,owner,barbecue,turn,parent,building,possible,lot,home,spring,swim,land,king,become,politics,many,elect,hold,commissioner,part,legislature,session,business,county,something,wife,support,person,power,name,usually,point,explain,collect,house,consultant,neighborhood,history,along,curve,bank,flood,resident,move,subdivision
,24,12,11,10,9,9,9,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 26, 2015 Sunday",78 of 98 DOCUMENTS,Austin American-Statesman (Texas),Incoherent conservatives see freedom fighters Marxing time,Jody Seaborn American-Statesman Staff,INSIGHT; Pg. E4,,729 words,,,"April 28, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Abbott,Texas,freedom,government,hofstadter,threat,conservative,political,conservatism,pseudo_conservative,American,governor,lose,liberty,revolt,become,create,Reagan,Pseudo_Conservative,republican,speech,gov,generation,away,reference,1967,foreign,rights,general,must,legislation,letter,write,life,sense,everything,oppose,socialist,conceivable,larger,point,Ronald_Reagan,America,crowd,without,dash,add,pinch,tuesday,speak,new,downtown,home,remember,forewarn,never,extinction,frequently,jan,inaugural,address,confront,today,irony,land,leader,resist,thank,goodness,need,warning,within,encourage,lawmaker,restrain,numerous,municipal,ordinance,ban,frack,name,individual,private,property,attorney,brag,often,sue,federal,try,tell,thing,deny,protect,celebrating,group,tea,party,select
,7,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 24, 2015 Sunday",80 of 98 DOCUMENTS,Austin American-Statesman (Texas),Lone Star shines,Mary Ann Roser American-Statesman Staff,MAIN; Pg. A1,,1928 words,,,"May 26, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Lone_Star,clinic,patient,Mundhenk,service,care,million,health,board,lone,star,employee,financial,time,pay,provider,provide,take,percent,may,make,2014,ceo,director,survive,organization,last,member,technology,have,another,information,business,go,executive,2012,Perialas,University,Alarcón,crisis,system,way,help,cut,serve,leader,tough,rely,racquetball,chief,many,clinical,associate,receive,people,el,bue,hurdle,foundation,give,public,partner,school,CEO,Hunnicutt,spend,earning,projection,later,backer,donor,step,location,change,focus,longer,staff,reduction,new,punch,strong,require,credit,bill,background,kind,lose,doctor,addition,show,mundhenk,skill,still,bright,future,believe,long,among,officer
,27,15,13,13,10,10,10,10,8,8,8,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 28, 2015 Thursday",81 of 98 DOCUMENTS,Austin American-Statesman (Texas),"IN AFTERMATH, GRIM DISCOVERIES",Sean Collins Walsh American-Statesman Staff,MAIN; Pg. A1,,792 words,,,"May 28, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,people,body,find,miss,county,flood,storm,Wimberley,wednesday,identify,eight,saturday,area,hurt,lose,disaster,San_Marcos,Cruz,go,house,child,resident,last,still,die,result,monday,official,flooding,man,many,issue,Carey_Charba,authority,along,vacationer,leave,river,home,bring,weekend,rescue,able,water,destroy,life,declaration,part,damage,much,local,time,think,vehicle,emergency,search,thunderstorm,Corpus_Christi,Texas,Hays_County,Blanco_County,Houston,Walker,hay,rip,foundation,night,male,boy,group,blanco,job,ranch,west,sweep,away,surge,wife,struggle,hold,onto,roof,five,recover,far,look,north,death,toll,memorial,seven,count,overall,least,northern,across,region,situation,become
,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2015 Friday",86 of 98 DOCUMENTS,Austin American-Statesman (Texas),Arts,American-Statesman Staff,A360; Pg. T12,,2058 words,,,"August 7, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,a.m.,saturday,aug.,sunday,friday,noon,work,free,st.,thursday,exhibition,e.,blvd,art,artist,new,w.,aug,theater,summer,austin,show,road,exhibit,contemporary,Tuesday_Friday,Closes,reception,appointment,martin,luther,king,present,7:30,drive,wednesday,s.,lamar,group,feature,sundays,comedy,Tuesday_Saturday,open,2832,center,building,musical,701,riverside,woman,congress,ave,installation,sculpture,st,Tony,Award_winning,Austin,Monday_Saturday,Monday_Friday,Monday_Thursday,Esther,print,collage,flatbedpress.com,explore,perform,dance,stock,classic,hairspray,8:30,love,play,history,lady,costume,thing,life,n.,science,gallery,916,springdale,media,drawing,painting,200,jr.,collection,select,thecontemporaryaustin.org,hour,go,bug,photograph,austintexas.gov
,85,32,28,20,17,15,15,13,11,10,10,10,9,9,9,9,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 14, 2015 Friday",87 of 98 DOCUMENTS,Austin American-Statesman (Texas),ARTS,American-Statesman Staff,A360; Pg. T11,,2326 words,,,"August 14, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,a.m.,saturday,sunday,noon,blvd,friday,aug.,work,thursday,free,artist,st.,e.,art,reception,w.,exhibition,austin,show,road,new,open,gallery,contemporary,theater,comedy,aug,lamar,sign,n.,Tuesday_Saturday,present,st,drive,summer,603,bookpeople.com,Tuesday_Friday,installation,feature,martin,luther,king,group,701,riverside,sundays,musical,7:30,speak,exhibit,Austin,Thursday_Saturday,landscape,sept.,hour,2832,jr.,sixth,classic,love,8:30,woman,916,springdale,building,congress,ave,photograph,appointment,close,Monday_Friday,Long_Center,Esther,Tony,Award_winning,African_American,BookPeople,Monday_Thursday,designer,suite,multimedia,program,35th,select,story,manor,variety,return,monday,play,thing,10:30,tuesday,wednesday,research,folly,venue
,99,33,29,18,15,15,15,13,12,12,11,10,9,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 21, 2015 Friday",89 of 98 DOCUMENTS,Austin American-Statesman (Texas),ARTS,American-Statesman Staff,A360; Pg. T13,,2239 words,,,"August 21, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,p.m.,a.m.,saturday,friday,sunday,noon,work,blvd,thursday,free,art,artist,aug.,e.,road,show,st.,w.,n.,gallery,exhibition,contemporary,st,theater,lamar,sign,bookpeople.com,new,comedy,Tuesday_Saturday,Tuesday_Friday,speak,603,exhibit,open,martin,luther,king,austin,installation,reception,center,7:30,monday,manor,8:30,present,drive,s.,bookpeople,916,springdale,building,world,jr.,feature,congress,aug,hour,landscape,2832,cultural,sept,sundays,sixth,appearance,Austin,African_American,American,Monday_Friday,Esther,dance,musical,classic,story,twist,performance,wednesday,hairspray,summer,love,play,theatre,701,riverside,time,back,2307,vortexrep.org,lady,costume,thing,life,2:30,event,research,p.m,rise,5:45
,90,30,28,21,19,14,13,12,11,10,10,10,9,9,8,8,8,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 8, 2015 Tuesday",91 of 98 DOCUMENTS,Austin American-Statesman (Texas),Huston-Tillotson turns to sun for bragging rights,Asher Price American-Statesman Staff,METR; Pg. B1,,719 words,,,"September 8, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,solar,university,environmental,array,Huston_Tillotson,program,student,campus,group,trip,install,effort,make,historically,black,dumpster,school,roughly,issue,community,kilowatt,Austin,Texas,Green,New_Black,take,many,institution,rooftop,sustainability,food,education,live,find,provide,electricity,power,conference,justice,history,pollution,lead,poorer,Magid,New_Orleans,Foley,roof,woman,dorm,wide,mesmerize,view,downtown,watch,step,might,panel,worker,green,much,embrace,installation,range,three,building,latest,series,move,expand,past,couple,build,study,internship,state,agency,nonprofit,construct,patio,recycl,material,start,garden,celebrate,earth,establish,call,famous,perhaps,project,initiative,professor,spend,use,educational,tool,science,teacher,elementary
,10,8,8,7,7,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 9, 2015 Friday",93 of 98 DOCUMENTS,Austin American-Statesman (Texas),"OBIT: LOCKE, Robert Edward",Austin American-Statesman,METR; Pg. B4,,264 words,,,"October 9, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,three,love,life,marry,work,conservation,loving,University,New_Mexico,Valerie,Austin,bob,locke,die,october,2015,bear,1947,serve,extend,tour,duty,meet,v.j.,propose,dating,later,remain,happily,another,hard,multiple,job,g.i,earn,degree,spend,lifetime,journalism,various,newspaper,magazine,cover,planetary,exploration,space,shuttle,climate,change,u.s.,mexico,border,archeology,retire,director,publication,bat,international,2014,whether,compose,story,computer,building,furniture,garage,hand,never,take,seriously,whatever,utmost,devote,husband,father,put,family,else,always,miss,survive,wife,son,mother,née,brother,sister,numerous,nephew,niece,memorial,hold,home,saturday,p.m,LOCKE,Robert_Edward_Robert,Houston,Texas
,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 27, 2015 Tuesday",95 of 98 DOCUMENTS,Austin American-Statesman (Texas),Texas factory production up for first time in 2015,Dan Zehr American-Statesman Staff,BUSINESS; Pg. B5,,407 words,,,"October 27, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,factory,production,order,sector,time,october,flat,new,accord,report,measure,activity,manufacturing,expansion,decline,output,state,index,read,essentially,indicate,rate,growth,energy,oil,price,strong,gain,job,hold,manager,express,business,remain,negative,contraction,manufacturer,uncertainty,Texas,Dallas_Fed,increase,mark,end,stretch,despite,another,fewer,monday,federal,reserve,bank,key,rise,4.8,0.9,prior,greater,positive,figure,faster,highest,december,data,plummete,late,spring,sharp,drawback,across,ripple,much,lower,gas,combine,dollar,weaker,economy,send,five,consecutive,august,september,finally,produce,shipment,jump,move,clear,january,help,stanch,loss,steady,cut,april,ongoing,reduction,hour,work
,6,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2015 Sunday",97 of 98 DOCUMENTS,Austin American-Statesman (Texas),TOP LOCAL STORIES OF THE WEEK,American-Statesman Staff,METR; Pg. B3,,675 words,,,"December 14, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Austin,city,report,ut,campus,classroom,police,opal,store,keep,many,member,new,justice,thursday,carry,panel,university,officer,security,festival,mayor,American_Statesman,SXSW,Australian,monday,owner,reach,struggle,tuesday,company,remain,time,wednesday,debate,trial,possible,leave,admission,black,might,court,back,gun,student,part,official,law,handgun,1.5,overtime,friday,return,sister,several,Freescale,University,Texas,UT,gun_free,jumpolin,lawsuit,quietly,resolve,piñata,demolish,amid,wave,criticism,site,landowner,settlement,little,fanfare,side,mutual,resolution,early,november,agree,term,private,destruction,february,rankle,already,specter,gentrification,demolition,family,embody,economic,displacement,community,warn,freescale,buyout,may,create
,10,7,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 29, 2015 Tuesday",98 of 98 DOCUMENTS,Austin American-Statesman (Texas),"Factory production rises, but makers grow gloomy",Dan Zehr American-Statesman Staff,BUSINESS; Pg. B5,,499 words,,,"December 29, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,factory,production,state,Texas,current,business,activity,dollar,december,environment,survey,report,drop,output,manufacturer,increasingly,pessimistic,accord,index,measure,texas,three,quarter,economy,condition,manufacturing,part,price,drawback,hurt,strength,percent,manager,show,make,country,note,sharply,general,better,six,look,China,Dallas_Fed,surge,third,consecutive,expand,grow,monthly,release,monday,federal,reserve,bank,key,jump,13.4,5.2,prior,greater,positive,figure,suggest,accelerate,close,expansion,contracting,flat,throughout,2015,track,closely,broader,provide,glimpse,statewide,final,acceleration,hint,toward,light,rebound,difficult,across,lower,oil,gas,lead,layoff,sharp,drilling,growth,expose,energy,sector,ripple,effect,slowed
,7,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
