PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,15,9,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2015 Tuesday",25 of 98 DOCUMENTS,Austin American-Statesman (Texas),Top Things to do,American-Statesman Staff,LIFE; Pg. D2,,262 words,,,"August 4, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,tuesday,p.m.,art,work,food,sea,exhibit,explore,climate,change,invite,trailer,free,w.,truck,artist,Mountains,Davis_Gallery,noon,aug,916,springdale,road,artsciencegallery.com,contemporary,science,effect,participatory,project,public,contribute,tracking,plot,data,keel,curve,carbon,dioxide,concentration,physical,biological,impact,planet,ecosystem,van,ryzin,tuesdays,701,riverside,drive,trailerfoodtuesdays.com,final,season,bring,together,location,along,live,music,screenprint,drink,quirky,vibe,city,satiat,hunger,finale,include,always,provide,beverage,summer,place,go,a.m.,aug.,837,12th,st.,davisgalleryaustin.com,unfurl,fresh,lineup,new,represent,well,guest,view,variety,medium,st,leger,among,other,Science_Gallery,Canopy,real_time,Mauna_Loa,Hawaii
,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2015 Friday",27 of 98 DOCUMENTS,Austin American-Statesman (Texas),Austin Catholics warm to Francis' message,Patrick Beach American-Statesman Staff,MAIN; Pg. A10,,484 words,,,"September 25, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,pope,people,parishioner,call,visit,Butler,live,stream,speech,discussion,change,we,feel,stance,worker,another,event,social,justice,community,bingo,strike,need,kindness,remind,love,Pope_Francis,Catholic,Kurtz,Francis,U.S.,thursday,morning,watch,joint,session,goal,man,many,invigorate,humble,recent,memory,provoke,thoughtful,essentially,mission,accomplish,homemaker,liz,kurtz,faith,have,probably,closet,learn,role,cut,politics,speak,ear,highest,world,worry,elect,excited,hopeful,global,ban,death,penalty,pretty,exciting,much,attention,­catholic,dogma,typically,go,high,mark,mention,might,canonize,legacy,radical,champion,poor,1930,prove,internet,infallible,holy,father,video,hang,almost,minute,beginning
,8,7,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2015 Thursday",28 of 98 DOCUMENTS,Austin American-Statesman (Texas),Saluting Austin's 2014 biggest global celebrities,Michael Barnes American-Statesman Staff,LIFESTYLE; Pg. D10,,907 words,,,"January 22, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Austin,win,social,make,time,keep,local,another,scene,new,take,event,many,etc,gov,lose,regain,2014,celebrity,last,reach,coach,name,however,meanwhile,sport,biggest,nominate,return,profile,fairly,winner,movie,always,give,home,musical,artist,love,especially,foundation,field,way,run,appear,world,despite,chef,business,wife,still,Rock,Roll_Hall,Longhorn_Network,McConaughey,gain,mourn,sudden,pass,global,midst,open,kind,accessible,famer,fit,easily,informal,sensibility,decade,muscle,onto,back,cheer,football,clean,house,become,household,elsewhere,big,speak,fully,career,charismatic,quarterback,position,ambassador,school,inclusive,culture,socialize,town,include,frequent,stint,namesake,steakhouse,seem
,12,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
