PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 5, 2000, Wednesday",70 of 95 DOCUMENTS,Austin American-Statesman (Texas),"They've got the money, honey; Now they want the wine Austin's scads",Dale Rice,Lifestyle; Pg. F1,,1753 words,,,"April 5, 2000",ENGLISH,,,Demand is driving up prices for wines like the Caymus Special Selection Napa Valley Cabernet Sauvignon. A bottle of the '95 vintage will set you back about $140 .JUMP ART //A climate-controlled room keeps the fine wines at Grape Vine Market ready for customers who don't blanch at spending up to $275 a bottle//Rob Moshein of Reuben's Emporium recalls one customer who didn't care if a wine was red or white as long as it was expensive. This 1995 Ferrari Carano Cabernet Sauvignon retails for $250 at Reuben's.// Chuck Huffaker: Grape Vine market co-owner says even young customers are buying pricey wine.,,,,Copyright 2000 The Austin American-Statesman
,wine,bottle,people,Austin,make,customer,Ruth,restaurant,quality,price,Moshein,dinner,fine,expensive,ask,demand,ago,Chris,co_owner,owner,money,special,three,100,local,city,many,case,collector,high_end,Reuben,night,young,know,number,buy,go,way,glass,area,consumer,vintage,spend,example,walk,look,man,include,high,attention,happen,bordeaux,great,tasting,manager,lowe,less,sell,accord,business,percent,high_tech,Italian,tell,idea,industry,much,help,develop,program,every,pour,try,order,pay,sip,economy,market,widespread,store,thirst,right,retailer,agree,rob,moshein,buyer,good,best,perhaps,red,take,factor,general,world,supply,focus,vineyard,national
,54,24,14,13,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 14, 2000, Friday",71 of 95 DOCUMENTS,Austin American-Statesman (Texas),The Ransom's riches; Singer's Hebrew-character typewriter. Picasso's,Michael Barnes,Lifestyle; Pg. F1,,1255 words,,,"April 16, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,value,work,background,henderson,est,literary,dream,manuscript,diary,poet,Picasso,million,rare,author,write,"10,000",object,Ransom_Center,Greene,yet,artistic,photograph,center,book,archive,collection,time,item,place,text,publish,letter,typewriter,American,Ransom,Stein,Duncan,Burgess,world,prize,familiar,remain,view,condition,show,collect,librarian,continue,"20,000",publication,sort,unpublish,along,simply,novel,device,although,woman,realize,something,someone,pound,reputation,contain,original,composition,lecture,relationship,several,single,life,wonderful,drawing,musical,compose,way,story,Leeds_Gallery,Cathy_Henderson,British,Sitwell,Singer,austinite,insider,know,lurk,within,limestone,leviathan,rise,21st,street,hulk,hold,valuable,curious,outsider,might,vast
,10,10,9,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 17, 2000, Wednesday",74 of 95 DOCUMENTS,Austin American-Statesman (Texas),Rhetoric against China trade proposal is nonsense,Thomas L. Friedman,Editorial; Pg. A15,,783 words,,,"May 18, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,China,Chinese,trade,U.S.,company,private,Communist_Party,interview,manager,picture,chinese,mind,political,worker,intellectual,state,much,speak,free,internet,live,government,bill,New_York_Times,AFL_CIO,Congress,visit,chairman,point,job,debate,permanent,claim,rights,situation,union,create,expand,democrat,afford,today,leadership,terrify,time,become,still,make,feel,argue,hurt,Seth,Rosenthal,last,colleague,top,largest,food,partially,privatize,executive,leaf,annual,report,page,four,vice,general,representative,interrupt,rep,ask,host,guy,wave,disdain,anything,ignore,encounter,always,stuck,illustrate,implication,rise,economy,student,longer,totally,dependent,likely,act,interest,fact,worth,remember,congress,whether,grant,normal,relation
,21,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 25, 2000, Sunday",77 of 95 DOCUMENTS,Austin American-Statesman (Texas),Coca-Cola's European strategy,Bert Roughton Jr.,Business; Pg. J1,,520 words,,,"June 25, 2000",ENGLISH,,,"Charles Frenette, shown aboard a train from Paris to Brussels last year, heads Coca-Cola's European operations.",,,,Copyright 2000 The Austin American-Statesman
,have,company,local,go,think,culture,risk,European,thing,value,far,Coca_Cola,Europe,well,operation,make,fit,old,way,right,take,understand,always,liability,identify,adapt,let,employee,tell,important,crisis,evolution,talk,lot,really,people,Atlanta,co.,restructuring,part,global,realignment,world,largest,soft,drink,charlie,frenette,name,head,earlier,discuss,strategy,simple,underlying,reorganization,organization,structure,environment,vice,versa,coke,wrong,actually,expand,rapidly,1980,new,territory,fall,21st,century,demand,much,greater,sensitivity,speed,evolve,improve,relationship,regulator,time,real,effort,perspective,can,insist,business,do,everywhere,show,proper,respect,climate,today,intrinsic,big,insensitive,authority
,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2000, Friday",81 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Venture capital sets a record; Across nation and in Austin,","Jerry Mahoney, American-Statesman Staff",News; Pg. A1,,682 words,,,"August 12, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,company,firm,venture,quarter,percent,Austin,capital,money,second,million,software,invest,record,new,internet,amount,raise,1999,billion,investment,put,startup,go,attract,receive,stock,economy,previous,much,look,source,public,success,grow,area,less,prospect,account,back,expansion,Venture,Austin_Ventures,late_stage,undeterred,either,market,correction,effort,slow,capitalist,pour,coffer,young,study,report,today,period,blow,past,562,275,last,emphasis,involved,telecommunication,semiconductor,387.3,fourth,nationally,19.6,accord,survey,higher,17.14,double,7.65,far,901,right,behind,larger,region,point,awfully,hard,dark,cloud,silver,lining,national,director,research,pricewaterhousecoopers,vital,scrambling,capitalize,change,bring,unlike
,19,13,11,11,9,9,8,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2000, Monday",83 of 95 DOCUMENTS,Austin American-Statesman (Texas),Window of PROSPERITY; 38 Austin startups see record amount of venture,"Jerry Mahoney, American-Statesman Staff",Business; Pg. D1,,1488 words,,,"August 18, 2000",ENGLISH,,,"Telecommunications companies, including CEO Bear Poth's ClearSource, led in local investments, receiving 19 poercent of the capital.//TManage CEO Glenn Lovelace, in his company's showroom in Northwest Austin, has pitched his company to 100 venture capitalists since starting. He received $47.8 million in the second quarter.",,,,Copyright 2000 The Austin American-Statesman
,company,million,venture,quarter,Lovelace,raise,capitalist,firm,Austin,market,percent,look,back,go,capital,plan,telecommuting,customer,business,record,money,Dell_Ventures,second,round,internet,startup,take,build,invest,network,allmystuff.com,office,appeal,found,maintain,include,new,vc,billion,entrepreneur,may,focus,cable,director,funding,find,less,manage,product,service,nearly,manufacturer,consumer,TManage,Austin_Ventures,grow,pump,tmanage,program,city,financing,previous,stock,creative,show,break,closer,raising,never,face,amount,fund,investor,give,help,system,telecommunication,employee,partner,computer,screen,another,much,keep,every,big,mean,event,other,investment,probably,addition,next,change,think,offer,little,bit,receive
,21,15,13,11,11,10,10,10,9,7,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 8, 2000, Friday",84 of 95 DOCUMENTS,Austin American-Statesman (Texas),Coaches who bully can cause long-term damage,Fran Harris,Lifestyle; Pg. F1,,593 words,,,"September 9, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,coach,child,athlete,kid,may,bully,player,practice,keep,concerned,approach,well,happen,issue,official,knight,accusation,former,chok,believe,perform,administrator,hire,aware,go,confidence,might,play,something,make,remember,adult,have,parent,talk,team,contact,person,Knight,ever,confront,difficult,hopefully,spring,shed,light,career,head,basketball,throw,chair,kick,table,curse,numerous,mayrch,university,decide,enough,fine,formal,reprimand,policy,action,follow,apparently,session,story,back,yard,every,great,treat,respect,intimidate,disagree,wonder,someone,tactic,possibly,job,sadly,quite,easily,sometimes,problem,win,percentage,safety,intimidating,result,benefit,long,haul,irreparable,damage,ability,advice,deal
,21,6,6,6,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2000, Thursday",85 of 95 DOCUMENTS,Austin American-Statesman (Texas),this timel; There's no buffer for their art assolo performers Holly,michael barnes american-statesman arts writer,XL Ent; Pg. 46,,872 words,,,"September 22, 2000",ENGLISH,,,"Holly Hughes, today through Saturday.; Peggy Shaw,Oct. 12-14.; Deb Margolin Nov. 2-4'Throws Like a Girl'",,,,Copyright 2000 The Austin American-Statesman
,artist,performance,part,think,audience,work,Hughes,make,preach,much,solo,change,go,art,way,night,jewish,experience,personal,life,people,lesbian,p.m.,Margolin,critic,still,share,soloist,center,throw,girl,feminist,theatrical,form,late,early,lot,tell,write,whose,wholly,solecism,call,something,seem,menopausal,gentleman,desire,possible,converted,show,perform,point,move,excuse,reach,dolan,everyone,daily,wide,improve,lie,provide,American,Rude_Mechanicals,Peggy_Shaw,roar,club,coffee,house,offbeat,theater,congressme,excoriate,academics,exalt,country,outrageous,political,headline,often,heretical,reflection,unorthoxy,week,three,key,present,pervert,series,troupe,follow,october,november,heady,'90,sen,jesse,helm
,10,9,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2000, Friday",86 of 95 DOCUMENTS,Austin American-Statesman (Texas),Health-care price increases; Who will bear the cost?; Employers or,"Amy Schatz, American-Statesman Staff",News; Pg. A1,,2090 words,,,"October 10, 2000",ENGLISH,,,"Max Thomas, right, talking with employee Chris Bybee on Thursday, says he will try to absorb the higher cost of providing health care to the employees of his catering business. Otherwise, he fears he will lose them.",,,,Copyright 2000 The Austin American-Statesman
,cost,employee,increase,percent,health,company,benefit,insurance,state,drug,worker,pay,premium,plan,health_care,Austin,rise,employer,business,rate,higher,prescription,care,last,cover,keep,Texas,HMOs,may,time,market,afford,small,many,expect,accord,find,go,hope,prefer,1998,raise,private,owner,co_pays,pass,way,loss,analyst,next,help,official,still,encourage,join,lower,bargaining,reimbursement,hospital,expensive,provide,issue,price,lose,million,another,try,spend,value,Trilogy,Health_care,HMO,free,pick,take,face,along,director,compensation,swallow,can,education,dependent,start,extra,federal,average,large,new,economy,old,traditional,work,force,better,city,firm,unemployment,2001
,38,28,19,18,17,16,15,13,13,12,11,11,10,10,10,10,9,9,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 12, 2000, Sunday",92 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Integrating the NBA; It happened Oct. 31, 1950, when Earl Lloyd of",Mark Rosner American-Statesman Staff,Sports; Pg. C1,,1479 words,,,"November 14, 2000",ENGLISH,,,"TOP: Earl Lloyd was honored with a plaque on the 50th anniversary of his becoming the first black player in the NBA. Lloyd played nine seasons in the league and later coached the Detroit Pistons for parts of two seasons.; ABOVE: Said Earl Lloyd (blocking shot), 'When people ask about that first game, they want to hear that the Ku Klux Klan was there with ropes. But believe me, that first game, it was totally and unequivocally uneventful.'",,,,Copyright 2000 The Austin American-Statesman
,Lloyd,game,play,player,black,NBA,think,Cooper,draft,team,hotel,season,1950,white,believe,teammate,integration,baseball,three,fan,recall,receive,city,never,coach,eat,Auerbach,incident,later,racism,school,something,time,attitude,racial,auerbach,make,know,choose,celtic,room,go,handle,rookie,allow,Chuck_Cooper,Robinson,St._Louis,Chuck,Brown,neither,earl,lloyd,experience,little,people,use,ask,man,former,much,part,four,sport,remember,hard,high,kind,give,opponent,manager,refuse,anything,problem,red,basketball,back,become,move,owner,accord,tall,tale,take,door,round,step,great,guard,may,nothing,treat,six,last,average,point,rebound,seven,segregation
,15,14,14,14,12,11,9,8,7,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 25, 2000, Monday",95 of 95 DOCUMENTS,Austin American-Statesman (Texas),Upstarts revisted: The Big Winner: Exterprise,"Heather Cocks, Jerry Mahoney, Robert Elder Jr., American-Statesman Staff",Tech Monday; Pg. D1,,1283 words,,,"December 27, 2000",ENGLISH,,,"Exterprise employees work in tight quarters at the Austin Technology Incubator earlier this year before moving to its North Austin offices; Evity's Clay Davis, left, and Rob Neville found success, but the one disappointment in its acquisition by BMC Software has been the plummeting stock price; At left, Blinq partners Geoff Helt, left, and Louis Kolssak in their Skokie, Ill., office in March. Helt attributed Blinq's downfall to trying to do too many things at once. Above, Electrocast's John Pepe, left, with Raymond Stewart in February, is awaiting word of a merger to save the company.",,,,Copyright 2000 The Austin American-Statesman
,company,customer,Exterprise,Evity,BMC,Blinq,million,software,business,people,product,sell,site,stock,try,merger,Electrocast,still,help,web,service,go,idea,lot,ActiveMarket,Saxena,Neville,room,1999,employee,work,tech,internet,offer,co.,investor,way,price,electrocast,focus,Helt,three,different,move,new,incubator,conference,exterprise,chief,executive,week,funding,version,official,something,visitor,hard,among,2000,big,thing,program,online,create,specific,past,attract,round,name,financing,look,acquisition,evity,may,100,startup,inside,take,bmc,share,hundred,revenue,monitor,sale,unit,single,vice,president,monthly,use,early,deal,close,must,consultant,generation,younger,shut,talk
,17,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
