PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 5, 2010 Monday",23 of 88 DOCUMENTS,Austin American-Statesman (Texas),A push for utility to open its files,Marty Toohey AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1326 words,,,"April 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,Austin_Energy,plant,city,public,information,power,waste,wood,deal,make,electricity,utility,keep,release,Austin,know,much,plan,contract,renewable,Mele,business,energy,vote,state,change,monopoly,City_Council,group,2.3,billion,cost,environmental,watchdog,coal,source,withhold,big,official,review,customer,use,position,need,goal,percent,run,full,Electric_Utility_Commission,detail,buy,persuade,question,sign,disclosure,activist,decision,partly,critic,agree,board,wind,tell,last,begin,confidential,hurt,expect,market,part,competitor,allow,next,lose,without,little,reason,purchase,coalition,austin,fuel,try,gather,later,offer,staff,anything,withheld,instance,pay,help,"50,000",home,capacity,2012,promise,report,provide,apartment
,17,15,15,14,12,10,10,8,8,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 21, 2010 Tuesday",25 of 88 DOCUMENTS,Austin American-Statesman (Texas),A Path of Picks,Patrick Caldwell AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D01,,3140 words,,,"September 21, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,p.m.,p.m,band,rock,budweiser,clear,amd,Austin_Ventures,sound,take,pop,stage,4g,Zync_Card,indie,honda,show,live,best,2:30,album,crowd,find,saturday,play,time,12:30,perfect,record,good,song,make,might,big,fest,way,better,music,mayer,hawthorne,quite,go,boy,ever,gospel,despite,Vampire_Weekend,British,a.m.,quartet,set,electropop,friday,back,great,3:30,cover,4:40,former,man,5:30,chill,7:30,8:30,crazy,sunday,fan,flam,lip,new,have,meander,head,afternoon,worth,highlight,LCD_Soundsystem,11:45,festival,kid,drum,dream,vocal,much,review,1:30,catchy,trio,work,well,soul,blaze,bombastic,bmi,6:30,maybe,act,group,drummer
,50,31,30,21,18,15,13,13,11,10,10,10,10,10,9,9,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"January 13, 2010 Wednesday",26 of 88 DOCUMENTS,Austin American-Statesman (Texas),Scholar founded UT programs in social work,Ralph K.M. Haurwitz AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,254 words,,,"January 13, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,Otis,dean,professor,Social_Work,social,work,jan,program,school,ut,School,keep,prize,possession,attach,dashboard,car,piece,acquire,symbolize,pursuit,knowledge,understanding,justice,quest,central,career,include,post,emeritus,die,lung,cancer,family,home,1965,1977,establish,bachelor,doctoral,set,research,training,center,bring,emphasis,community,organization,policy,master,degree,1993,intellect,creative,vision,leadership,create,foundation,future,achievement,current,join,deputy,director,federal,office,administration,serve,combat,engineer,world,war,ii,survive,wife,sister,child,five,grandchild,memorial,service,p.m.,lieu,flower,contribution,may,make,350.org,donate,climate,change,issue,rhaurwitz,statesman.com,Jack_Otis,Parthenon,Greece,University,Texas
,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 5, 2010 Monday",28 of 88 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,939 words,,,"April 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
