PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,ice,sheet,stream,foot,sea,global,study,warming,last,melting,start,shrink,response,glacial,West_Antarctic_Ice_Sheet,Conway,reveal,level,change,world,estimate,water,foundation,seab,decline,radar,image,four,erosion,retreat,age,delay,begin,ago,worldwide,look,slowly,receding,reason,satellite,tributary,active,University,Washington,Ross_Sea,Antarctica,goodbye,aloha,hasta,la,vista,week,scientist,city,anything,else,less,face,inexorable,drow,cube,roughly,size,packing,yet,leader,least,"7,500",barring,runaway,take,"7,000",disappear,represent,largest,potential,cause,400,raising,ocean,inch,every,apparently,nibble,freeing,float,exposure,make,uniquely,unstable,author,add,ongoing,catastrophic,confirm,ebb,colleague,record,tent
,22,9,9,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 9, 1999, Tuesday",15 of 78 DOCUMENTS,USA TODAY,Town choked by asbestos struggles to overcome a homemade disaster,Dennis Cauchon,NEWS; Pg. 8A,,4161 words,"SZCZUCIN, Poland",,"February 09, 1999",ENGLISH,,,"GRAPHIC, b/w, Dave Merrill, USA TODAY(Map); PHOTO, color, Tomasz Tomaszewski, for USA TODAY; PHOTOS, b/w, Tomasz Tomaszewski, for USA TODAY(9); After surgery: Weislaw Rosa, who lives near the asbestos cement factory in Szczucin, had a lung removed after developing mesothelioma, an incurable asbestos-related cancer.  Didn't warn workers: Tadeusz Glod, the factory doctor at the asbestos plant in Szczucin, says he didn't warn workers of asbestos' dangers because they were too ignorant to understand. He now works at the local clinic. Taking precautions: Jacek Wolak wears a protective face mask as he climbs into a barn made of asbestos. An asbestos house: Jan Pyzik, a farmer who suffers from asbestosis after working in Szczucin's cement factory, looks out the window of his asbestos cement house.  Early warnings: Bogdan Przygocki, a doctor, was fired from the Gdansk Shipyard in the 1980s when he warned workers of asbestos' danger.",,,,"Copyright 1999 Gannett Company, Inc."
,asbestos,worker,cancer,plant,use,factory,work,dust,death,health,Poland,die,make,man,doctor,never,house,communist,today,problem,asbestos_related,cement,town,know,study,danger,report,1980,tell,Soviet,little,official,time,leave,road,former,country,take,cause,go,peasant,waste,pyzik,Szczucin,father,mesothelioma,fiber,building,local,thing,around,do,medical,job,officially,farmer,farm,family,courtyard,glod,Communist_Party,Russian,lung,wife,child,build,disease,pipe,continue,communism,many,rate,exposure,scientist,ago,per,put,find,sick,Renke,machine,keep,air,dump,barn,field,epidemic,million,decade,material,fall,cloth,pile,every,stop,show,safety,occupational,condition
,104,25,22,20,18,17,17,16,16,14,14,13,13,11,11,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"May 26, 1999, Wednesday",16 of 78 DOCUMENTS,USA TODAY,"Network seasons change, but landscape stays the same This fall, it pays to be young, white and wealthy",Robert Bianco,LIFE; Pg. 3D,,1404 words,,,"May 26, 1999",ENGLISH,,,"PHOTO, B/W, Richard Cartwright, WB; PHOTO, B/W, Bob D'Amico, ABC; PHOTO, B/W, Barbara Nitke, CBS; Channeling: David Boreanaz, far left, in 'Angel.' On 'Once and Again,' left, Sela Ward and Billy Campbell raise Julia Whelan, left, Meredith Deane, Evan Rachel Wood and Shane West.  Below, 'Now & Again' has Margaret Colin, front, with Dennis Haysbert, left, Eric Close, Heather Matarazzo and Gerrit Graham.",TELEVISION,,,"Copyright 1999 Gannett Company, Inc."
,show,network,new,Fox,drama,season,seem,look,ABC,know,fall,comedy,WB,UPN,CBS,advertiser,young,actor,ratings,cast,may,wb,Again,can,schedule,viewer,six,judge,slate,much,angel,clip,impression,high,school,make,ally,mcbeal,big,least,sitcom,NBC,Harsh_Realm,broadcast,learn,next,announce,week,expect,life,college,think,build,around,chase,continue,youth,white,still,already,good,real,hope,presentation,give,idea,change,tv,worst,ready,fresh,man,manchester,prep,downtowner,hire,four,actress,work,black,lead,minority,lineup,problem,creator,repurpose,title,hit,promise,woman,oh,crowd,race,stronger,movie,happen,racial,standout,family
,21,17,10,9,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 29, 1999, Monday",18 of 78 DOCUMENTS,USA TODAY,Spacecraft to touch down on Mars on Friday,Robyn Suriano; Florida Today,NEWS; Pg. 25A,,815 words,PASADENA Calif.,,"November 29, 1999",ENGLISH,,,"PHOTO, b/w, NASA; Mars Polar Lander: The spacecraft is to use rockets to land softly on Mars' south pole. The lander's mission is to study the Red Planet's water history.",,,,"Copyright 1999 Gannett Company, Inc."
,lander,water,Mars,scientist,life,NASA,surface,mar,probe,mission,polar,Martian,landing,pole,ground,study,carry,follow,search,live,planet,orbiter,atmosphere,small,soil,liquid,layer,thing,without,spacecraft,south,dirt,either,find,learn,go,understand,charge,need,navigation,cause,climate,lose,try,orbit,add,every,descend,land,pop,ancient,ship,launch,samples,back,provide,idea,might,look,ever,change,thin,deep,tell,weather,dig,enough,Mars_Polar_Lander,Polar_Lander,calif,track,deer,hunter,world,chance,start,bear,friday,hoarding,freeze,among,expect,anything,site,way,ice,empty,watery,trail,process,understanding,potential,past,present,planetary,science,work,crucial,another
