PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2015 Thursday",43 of 272 DOCUMENTS,USA TODAY,"A natural fit: Al Gore, Pharrell and 'Live Earth'; Worldwide concerts will rally around climate change","Kim Hjelmgaard, USA TODAY",LIFE; Pg. 2D,,457 words,,,"January 22, 2015",ENGLISH,,,"photo Michel Euler, AP",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,event,change,world,global,warming,work,live,earth,concert,climate,venue,wednesday,2007,include,show,U.S.,Paris,Gore,broadcast,build,producer,feature,artist,perform,around,go,announcement,release,city,hold,interest,topic,many,extreme,planet,Williams,China,stage,next,set,billion,people,effort,support,combate,singer,songwriter,best,know,hit,song,happy,serve,creative,director,100,hour,june,literally,humanity,harmonize,economic,forum,detail,performer,although,report,choose,host,along,country,previous,seven,continent,note,pundit,comedian,understand,often,ridicule,something,different,time,main,n.j.,small,satellite,near,capitol,d.c,attempt,galvanize,ahead,key,talk,december,former,vice,president
,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2015 Thursday",55 of 272 DOCUMENTS,USA TODAY,Conversation starters,,NEWS; Pg. 7A,,352 words,,,"July 9, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,officer,video,climate,growth,better,take,public,economic,change,jury,cop,police,worst,evidence,risk,poverty,together,secure,sustainable,face,skeptical,eye,law,word,worse,anyone,else,recently,least,witness,stand,uniform,typically,enjoy,presumption,rectitude,however,seemingly,unrelenting,barrage,image,depict,toll,uniformed,credibility,street,courtroom,rarely,refute,testimony,outright,dog,bark,absence,fuel,doubt,pervasive,suspicion,diligent,look,shoulder,hardly,surprising,probably,nothing,restore,confidence,pollyannish,level,prevail,privileged,community,camera,memorably,expose,bad,vindicate,heroism,good,judgment,life,every,behalf,columnist,strong,action,multitrillion,dollar,opportunity,recent,trend,global,economy,building,momentum,development,meet,goal,raising
,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2015 Tuesday",58 of 272 DOCUMENTS,USA TODAY,Paris deal needs to be stronger to reach goals,,NEWS; Pg. 6A,,425 words,,,"December 15, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,climate,deal,Paris,country,carbon,nation,we,change,issue,enforcement,agreement,people,toward,agree,rise,simply,goal,degree,world,go,legally,bind,emission,without,comply,global,drain,resource,increase,step,reduce,need,action,important,Celsius,leader,195,weekend,intend,slow,greenhouse,gas,summit,kick,road,limiting,warming,pure,grandstanding,develop,cap,never,mind,reduction,voluntary,allow,set,target,policy,international,oversight,hobble,economy,improve,competitive,position,examine,accurately,sniff,alarmist,hokum,fact,address,fossil,fuel,overpopulation,pollute,planet,add,especially,footprint,pollution,schaal,cross,heart,promise,mechanism,twitter,ask,follower,think,big,joke,behind,whatsoever,sundevilsal,may,measure,achieve
,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
