PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,David,warming,people,global,climate,*,way,producer,documentary,call,celebrity,speak,narrate,effort,Gore,find,fresh,different,change,may,increase,talk,turn,rise,fuel,greenhouse,gas,often,work,everything,series,environmental,perch,metal,chair,coffee,shop,block,meeting,senator,consider,difference,comedian,enlist,fight,deal,politician,little,government,demand,former,vice,president,inconvenient,truth,special,magazine,wife,powerful,environmentalist,critical,acclaim,warning,danger,seem,likely,influence,mobilize,word,planet,urgent,issue,famously,curmudgeonly,husband,sign,buy,hybrid,show,give,away,cause,movie,spotlight,scientist,long,concerned,temperature,concentration,atmosphere,capture,energy,sun,fear,effect,include,seas,extreme,weather
,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2006 Monday",26 of 181 DOCUMENTS,USA TODAY,Great Lakes compact at the center of great debate; Agreement seeks to stem water use outside region,Dennis Cauchon,NEWS; Pg. 15A,,1275 words,,,"February 2, 2007",ENGLISH,"January 29, 2007","A map accompanying a Dec. 11 story on water rights in the Great Lakes region should have said Ontario is the only Canadian province bordering the lakes. Quebec borders the St. Lawrence River, which is included in the Great Lakes Commission area.","GRAPHIC,COLOR,Dave Merrill,USA TODAYSources:Great Lakes Information Network, U.S. Army Corps of Engineers, U.S. Transportation Department and WorldAtlas.com(Map,Pie chart) PHOTO,color,Mark R. Rummel,The (Port Huron) Times Herald PHOTO,b/w,Mark R. Rummel,The (Port Huron) Times Herald PHOTO,b/w,Carlos Osorio,AP PHOTO,b/w",,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,water,Great_Lakes,state,agreement,lake,side,new,change,group,business,Ohio,city,watersh,legislature,deal,region,director,much,compact,shipping,make,New_Berlin,radium,probably,border,town,way,fresh,approval,approve,million,economic,support,use,put,let,can,environmental,environmentalist,development,level,near,low,less,take,Arizona,Asia,Michigan,suburb,half,well,happen,may,look,west,slope,multistate,work,largest,ship,outside,sign,last,eight,province,climate,people,elsewhere,suffer,executive,council,responsible,spend,agree,language,community,standard,road,political,thing,reduce,plant,occur,move,president,rights,lock,mean,industry,tourism,cause,ice,sense,chamber,stream,gallon,bottle,Milwaukee,Lake_Michigan
,44,13,9,8,8,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 25, 2006 Monday",27 of 181 DOCUMENTS,USA TODAY,"Wal-Mart grows 'green' strategies; No. 1 retailer embraces environment, but some say it's just 'green-washing'",Mindy Fetterman,NEWS; Pg. 1A,,2062 words,,,"September 25, 2006",ENGLISH,,,"GRAPHIC,Color,Web Bryant(Illustration) GRAPHIC,b/w,Source:Fortune(Chart) PHOTO,b/w,Matthew Staver for USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,Wal_Mart,company,light,million,fish,world,use,package,product,store,supplier,sell,president,bulb,energy,buy,make,cost,way,vice,push,cut,work,consumer,change,sustainability,much,know,largest,employee,save,group,business,across,less,good,fishery,waste,environment,ago,effort,*,lot,lighting,USA,biggest,fluorescent,though,produce,emission,today,think,buyer,organic,fair,trade,call,corporate,many,environmentalist,include,truck,three,within,freeze,sustainable,wind,power,system,better,start,shelf,space,detergent,sign,lead,ge,LED,plan,retailer,embrace,compact,last,time,longer,regular,single,new,giant,slash,reduce,"60,000",carbon,dioxide,greenhouse,emit,worldwide,release,different
,42,14,13,13,12,11,11,11,11,11,10,9,8,8,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 2, 2006 Friday",28 of 181 DOCUMENTS,USA TODAY,Downhill slide ahead?; Climate change a big concern for ski resorts,Tom Kenworthy,LIFE; Pg. 4D,,549 words,,,"June 2, 2006",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: 2006 Colorado College State of the Rockies Report Card (MAP)",,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,resort,ski,snow,o',donnell,power,renewable,energy,mountain,winter,temperature,snowmake,cost,good,green,wind,electricity,co.,fall,spring,chief,executive,industry,change,level,study,april,we,warmer,ability,make,march,work,carbon,emission,think,enough,president,certificate,producer,solar,part,extra,use,area,*,turbine,Aspen_Skiing,Northwest,colorado,memorable,average,ring,cash,register,late,financially,probably,record,pat,o'donnell,whose,company,run,four,sport,destination,aspen,worried,future,reason,climate,snowpack,county,decrease,2085,accord,state,rocky,report,scare,pants,big,effect,drop,foundation,laid,long,season,extend,mercury,rise,play,fire,boost,weather,degree,really,affect
