PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,9,7,6,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 1997, Thursday",27 of 135 DOCUMENTS,USA TODAY,Emissions plan under fire Clinton global warming proposal pleases no one,Traci Watson,NEWS; Pg. 1A,,400 words,WASHINGTON,,"October 23, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,plan,billion,president,emission,ton,group,greenhouse,gas,nation,2010,Clinton,environmentalist,global,warming,pollutant,industry,energy,fuel,cut,treaty,agreement,limit,target,talk,company,climate,U.S.,Senate,European,Japan,member,business,ally,rush,wednesday,attack,combat,almost,soon,announce,enough,lower,production,many,scientist,think,hasten,trap,heat,atmosphere,fail,protect,child,leader,economy,disrupt,flaw,work,o'keefe,chairman,lobbying,lead,tax,drive,price,legislator,complain,develop,require,bring,embarrassing,administration,sen,charle,hagel,must,ratify,level,1990,3.3,current,total,industrialize,3.5,per,carbon,dioxide,create,fossil,burn,contrast,fight,2.8,propose,3.1,ambassador,difficult,reconcile,proposal
,9,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 1997, Wednesday",30 of 135 DOCUMENTS,USA TODAY,The climate's global reach Boonville miners fear they'll soon 'be out of a job',Paul Hoversten,NEWS; Pg. 1A,,1342 words,"BOONVILLE, Ind.",,"December 10, 1997",ENGLISH,,,"GRAPHIC, B/W, USA TODAY(Map); PHOTO, Color, H. Darr Beiser, USA TODAY; PHOTO, B/W, H. Darr Beiser, USA TODAY",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,coal,miner,mine,Boonville,global,power,use,last,warming,burn,kyoto,ton,work,cut,go,shovel,plant,energy,another,bring,town,treaty,carbon,dioxide,county,many,bucket,Wood,time,turn,source,rest,talk,biggest,mining,amendment,sulfur,make,around,switch,back,less,job,run,laid,former,barber,shop,Indiana,Clean_Air_Act,generation,hard,income,nation,worldwide,release,gas,trap,become,depend,average,state,result,lot,people,scoop,five,business,high,force,renewable,reserve,1994,billion,fallout,little,tread,company,room,dirt,dump,truck,three,wall,school,rather,career,pain,whose,corner,haircut,age,week,cap,cumming,put,so_called,Peabody_Coal,USA
,28,14,14,12,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 12, 1997, Wednesday",34 of 135 DOCUMENTS,USA TODAY,Vacation slip-sliding away Firms today less willing to pay for play,Ellen Neuborne,MONEY; Pg. 1B,,1220 words,,,"March 12, 1997",ENGLISH,,,"GRAPHIC, Color, Suzy Parker, USA TODAY, Source: Bureau of Labor Statistics, Primark Decision Economics (Line graph, Illustration)",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,vacation,time,worker,work,company,new,benefit,less,offer,fun,cost,way,job,pay,employee,shrink,employer,may,go,business,make,average,owner,know,every,need,many,author,real,downsizing,workforce,plan,change,study,1987,must,earn,corporate,trend,long,management,consultant,psychologist,pressure,mean,cut,possible,care,already,meet,1992,contract,lab,hire,policy,people,line,control,use,economy,economist,firm,interested,keep,today,think,cope,manage,guy,office,sound,look,let,unpopular,stress,idea,good,slot,message,trade_off,forget,week,beach,summer,enough,indignity,visit,menu,range,comp,401,nationally,amount,receive,slipping,1980,typically,ask,give
,30,19,16,14,13,9,9,7,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 1997, Friday",35 of 135 DOCUMENTS,USA TODAY,Opportunity exists for Army in sex scandals,Jill Nelson,NEWS; Pg. 13A; Commentary,,520 words,,,"January 31, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,woman,armed,Army,sexual,harassment,violence,force,assault,defend,november,complaint,week,female,soldier,Aberdeen,instructor,accuse,nature,toward,man,face,often,thing,doubt,rape,call,leave,feel,campus,last,cadet,charge,society,general,liquor,branch,change,recruit,West_Point,disclosure,tuesday,yet,another,prove,ground,indecent,point,systemic,past,event,spun,lone,accuser,five,ironic,horrifying,enlist,service,motivate,large,part,interest,country,foreign,enemy,invasion,find,physical,invade,body,pervasive,situation,put,rest,allegation,reveal,early,set,hot,line,similar,end,receive,"6,000",incident,go,back,world,war,ii,currently,investigation,several,ago,student,previously,announce,harass,unsafe
,7,6,6,5,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 1997, Wednesday",37 of 135 DOCUMENTS,USA TODAY,Boomers beware: Estate tax now not just for the rich,Norman Ornstein,NEWS; Pg. 15A,,949 words,,,"April 23, 1997",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY(Illustration)",,,,"Copyright 1997 Gannett Company, Inc."
