PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,el,nino,water,normal,hurricane,cause,rain,central,northern,Peru,warm,current,ocean,fish,warmer,part,season,next,across,enough,chile,weather,begin,spring,pacific,much,start,related,wet,dryness,gulf,storm,average,winter,usa,southern,salmon,Pacific_Ocean,Mexico,California,long,rest,world,hear,name,fishermen,talk,show,around,every,three,seven,strong,block,cold,rise,bottom,happen,die,go,elsewhere,southward,today,term,refer,global,complex,event,include,change,last,degree,stretch,westward,along,equator,tuna,spread,northward,northwest,india,dry,monsoon,spotty,heavy,hit,may,june,flood,desert,america,less,time,dring,summer,cool,evidence,clear,big
,8,8,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 1997, Wednesday",111 of 135 DOCUMENTS,USA TODAY,Dow numbers make sense in light of export growth,,NEWS; Pg. 14A,,465 words,,,"June 18, 1997",ENGLISH,,,,DEBATE,,,"Copyright 1997 Gannett Company, Inc."
,business,U.S.,market,dow,economy,billion,last,return,growth,foreign,global,investor,fall,stock,irrational,time,rate,make,jump,export,general,much,grow,competitiveness,trade,Dow_Jones_Industrial_Average,Caterpillar,Exxon,Dupont,American,Johnson,chairman,alan,greenspan,worried,displaying,exuberance,barometer,6500,call,flirt,8000,crazy,predecessor,seem,think,man,rebottle,inflation,genie,1970,people,note,week,common,perspective,past,six,double,look,outrageous,remember,really,national,instead,indicator,economic,prospect,huge,mostly,multinational,corporation,example,third,revenue,motor,abroad,outside,electric,three,domestic,sale,giant,vanguard,goods,service,alone,amount,830,increase,slowly,marketplace,attract,100,bet,succeed,globally,new,world
,8,8,7,7,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 1997, Thursday",112 of 135 DOCUMENTS,USA TODAY,The 'carnival' in Kyoto warms to the occasion,Traci Watson,NEWS; Pg. 4A,,308 words,"KYOTO, Japan",,"December 05, 1997",ENGLISH,,,"PHOTO, B/W, Sankei Shimbun, AP",,,,"Copyright 1997 Gannett Company, Inc."
,web,conference,environmental,nearly,global,warming,negotiation,participant,country,seven,language,reporter,phone,activist,group,booth,wear,document,save,Japan,United_Nations,Greenpeace,international,complex,diplomatic,sort,carnival,170,member,expect,official,proceedings,conduct,"3,500",environmentalist,usually,can,call,return,find,wooe,minute,fame,life,usa,give,interview,bear,never,think,hope,catch,eye,delegate,nonprofit,line,hallway,electric,company,tout,view,beside,parking,lot,use,giant,solar,array,power,environmentally,correct,kitchen,news,brown,paper,bag,head,show,disagreement,proposal,nudge,technology,cell,mandatory,site,alone,enough,live,video,coverage,world,wide,audio,accompaniment,instead,chop,tree,printing,mailing
,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 1997, Monday",117 of 135 DOCUMENTS,USA TODAY,Hurricane veers away from Calif.,Shannon Tangonan,NEWS; Pg. 4A,,324 words,,,"September 15, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,California,Linda,southern,surf,hurricane,wind,water,change,forecaster,coast,el,move,course,sunday,warn,still,shower,linda,mph,nino,temperature,warm,thunderstorm,away,make,expect,today,along,threat,high,begin,weaken,hit,heavy,tout,strongest,ever,record,eastern,pacific,pack,190,last,thursday,early,friday,refer,pattern,global,effect,ocean,create,tropical,largest,frequent,churn,toward,land,saturday,official,prepare,drench,rain,flood,powerful,mayhem,afternoon,760,mile,die,landfall,national,center,track,remain,offshore,next,presence,feel,cloud,dump,area,south,county,coastline,peak,foot,lt,marshall,park,anticipate,height,seem,big,couple,tide,wreak,havoc,combination
,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 1997, Thursday",119 of 135 DOCUMENTS,USA TODAY,And they call it puppy love Even foes say a president's smart as a fox to get a dog,Patrick O'Driscoll,NEWS; Pg. 1A,,2129 words,,,"December 24, 1997",ENGLISH,,,"PHOTO, Color, Barbara Kinney, The White House; PHOTO, Color, Tim Dillon, USA TODAY; PHOTO, Color, Dennis Cook, AP; PHOTO, B/W, Charles P. Gorry, AP; PHOTO, B/W, Karin Cooper, AP",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,dog,Clinton,president,White_House,name,go,puppy,new,Socks,make,think,tell,wednesday,pet,retriever,sock,around,spokesman,pup,news,breeder,own,know,contribute,Washington,site,suggestion,waffle,cat,talk,friend,brown,labrador,yellow,although,use,sure,available,training,introduce,time,finally,something,run,dalmatian,last,begin,probably,little,house,keep,late,mutt,press,bring,love,watch,canine,whether,1996,call,best,ask,unconditional,aide,let,breed,Labrador,USA,Chelsea,Dole,Leader,Dick_Morris,Morris,put,global,warming,investigation,hold,handle,nation,mind,namely,thousand,million,owner,flood,switchboard,various,internet,word,spread,male,among,today,web,mo,subpoena,donor
,18,15,11,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 1997, Friday",121 of 135 DOCUMENTS,USA TODAY,"Talent, experience fill banking teams",Tom Lowry,MONEY; Pg. 3B,,905 words,,,"February 28, 1997",ENGLISH,,,"PHOTOS, B/W (2)",,,,"Copyright 1997 Gannett Company, Inc."
,banker,Moelis,work,ITT,billion,investment,former,client,takeover,make,advise,company,merger,help,financial,Hilton,Lazard,Rosenfeld,DLJ,hostile,ceo,adviser,value,have,corporate,great,million,fee,moelis,Circus_Circus,offer,battle,bid,bank,board,senior,increase,deal,total,manzi,relationship,restructuring,people,structure,well,jenrette,bond,together,hire,among,last,restructure,debt,mind,idea,brilliant,morgan,USA,Wall_Street,Goldman_Sachs,Goldman,Rohatyn,Jerry,Kluge,6.5,launch,prove,biggest,today,look,player,break,frere,goldman,sach,respected,long,history,stranger,fight,team,1980,rand,araskog,successful,defense,bidder,jay,pritzker,latest,serve,cadre,lead,generalist,formerly,specialist,bros,management,consultant
,9,8,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 1997, Tuesday",123 of 135 DOCUMENTS,USA TODAY,"'Lutheran Hour,' pets and Selena",Sam Vincent Meddis,LIFE; Pg. 6D; The Net: New and notable,,970 words,,,"March 25, 1997",ENGLISH,,,"PHOTOS, B/W (2)",,,,"Copyright 1997 Gannett Company, Inc."
,http,site,web,offer,free,find,page,along,net,feature,thing,art,include,home,new,check,information,map,event,make,easter,original,people,share,music,photo,service,interactive,world,head,classic,design,fun,book,info,test,bring,send,search,way,Lutheran_Hour,on_line,debut,sunday,audio,clip,1937,sermon,speaker,walter,a.,maier,//www.lhm.org/,name,unusual,blonde,ambition,creator,cat,wiccan,ask,religious,tolerance,thought,groovy,worthy,cause,//www.geocities.com,blondeambition,love,dog,excuse,particularly,breed,beautiful,warm,friendly,example,pet,//www.zianet.com,poquito,entertainment,tribute,slain,superstar,nicely,do,link,foundation,raising,fund,musically,gift,underprivileged,student,.com/main.html,dj,cool,channel
,24,8,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 1997, Thursday",130 of 135 DOCUMENTS,USA TODAY,"For Diana's mom, 'faith is the center of it all'",Marco R. della Cava,NEWS; Pg. 11A,,888 words,LONDON,,"September 04, 1997",ENGLISH,,,"PHOTO, color, Glasgow Herald; PHOTO, b/w, Sasa Kraij, AP; PHOTO, b/w, Laurent Rebours, AP",,,,"Copyright 1997 Gannett Company, Inc."
,Diana,Shand_Kydd,daughter,MacAulay,mother,marry,family,go,move,husband,house,leave,home,charle,give,child,talk,marriage,divorce,church,London,princess,diana,friend,wednesday,many,time,priest,people,cottage,estate,private,state,faith,saturday,life,attend,die,often,eat,disorder,sister,serve,royal,publicly,grant,interview,marital,infidelity,think,end,spencer,farmhouse,escape,know,magazine,letter,volunteer,work,local,read,event,benefit,handicapped,St._Columba,Scotland,Seil,Althorp,Spencer,grief,courageous,resourceful,woman,rev,tell,today,have,find,look,photo,remember,good,cathedral,laughter,visit,huddled,inside,small,western,hearing,news,death,island,hour,northwest,late,fly,join,son
,13,12,9,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 1997, Monday",133 of 135 DOCUMENTS,USA TODAY,Calm hurricane season in East Forecasters say El Nino responsible,Laura Parker,NEWS; Pg. 4A,,405 words,,,"October 20, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,storm,hurricane,season,wind,tropical,el,nino,reach,Atlantic,predict,name,june,coast,hit,cause,part,seven,strength,become,mph,three,alter,september,Arizona,calmest,east,decade,close,sparing,resort,owner,along,atlantic,annual,trauma,reconstruction,fortunate,oct,kill,200,heavy,flooding,earlier,fall,remnant,pummel,rain,high,blustery,never,materialize,latest,thursday,receive,run,nov.,folk,breathing,sigh,relief,manager,repair,damage,1993,complete,brace,worst,good,reason,last,way,forecaster,active,normal,third,row,size,huge,mass,warm,pacific,water,disrupt,global,weather,underestimate,chief,meteorologist,university,occur,six,evolve,die,sea,sweep,gulf,zigzagged,around,cross
,10,8,7,6,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 1997, Wednesday",134 of 135 DOCUMENTS,USA TODAY,Shopping the Superhighway Net can't fill all your stockings yet,Elizabeth Weise,LIFE; Pg. 1D,,1278 words,,,"December 10, 1997",ENGLISH,,,"GRAPHIC, Color, Suzy Parker, USA TODAY, Source: Jupiter Communications (Line graph, Illustration)",COVER STORY,,,"Copyright 1997 Gannett Company, Inc."
,site,web,find,catalog,shopping,line,book,sale,go,end,next,order,store,think,call,use,internet,list,number,still,cd,know,tell,company,Wiggles,on_line,set,shop,security,place,christmas,mall,retail,little,thing,computer,save,work,person,around,type,search,never,back,seem,customer,Land,business,start,figure,really,take,holiday,quite,gift,test,feature,every,locate,trip,hour,look,million,compare,total,item,might,minute,wait,give,present,straight,retailer,shelf,page,pay,always,best,friend,copy,turn,time,another,bring,much,expect,leave,sure,wander,opener,worried,credit,card,phone,rise,people,mention,we,voice
,12,10,8,8,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 26, 1997, Friday",135 of 135 DOCUMENTS,USA TODAY,Rock 'n' roll legends enjoy a creative renaissance,Edna Gundersen,LIFE; Pg. 8D,,1247 words,,,"December 26, 1997",ENGLISH,,,"PHOTO, B/W, Gerard Julien, AFP",MUSIC,,,"Copyright 1997 Gannett Company, Inc."
,album,tune,rock,time,vocal,pop,Elliott,tour,return,dance,comeback,beat,band,Dylan,hip_hop,let,emerge,star,1997,every,yield,misdemeanor,appeal,force,el,corazon,bring,work,song,take,stand,new,isolation,voice,clear,yearn,despair,brilliant,melange,sonic,without,melody,daredevil,tenor,richly,theme,guitar,know,girl,history,talk,Bob_Dylan,McCartney,John_Fogerty,David_Bowie,Nirvana,James_Taylor,OMC,Oasis,Blur,Steve_Earle,Hanson,Verve,Prodigy,Rain,Supa_Dupa_Fly,Pop,art_rock,Bowie,review,hipper,happening,submit,absorb,roll,stone,silence,detractor,ferocious,bridge,form,charming,flam,pie,seclusion,rich,energetic,blue,moon,swamp,fleetwood,mac,chart,box,office,gold,glorious,reunion,outdazzled
,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
