PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,14,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 22, 2018 Wednesday",32 of 169 DOCUMENTS,USA TODAY,EPA plan would prolong life of coal plants; Opponents say they'll sue to thwart proposal,"Ledyard King, USA TODAY",NEWS; Pg. 3A,,695 words,,,"August 22, 2018",ENGLISH,,,photo Jim Cole/AP,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,plan,power,plant,state,call,Trump,EPA,proposal,emission,coal,Clean_Power_Plan,percent,coal_fired,Obama,life,president,rule,give,energy,tell,reporter,carbon,use,exist,provide,administration,former,climate,change,tuesday,global,warming,well,pollutant,today,agenda,propose,legal,lead,opponent,environmental,group,tweet,war,dioxide,administrator,encourage,base,reduction,increase,price,consumer,efficiency,improvement,flexibility,electric,need,industry,step,Wheeler,age,new,lease,replace,signature,confront,unveiled,broad,latitude,regulate,greenhouse,gas,contribute,smog,soot,mercury,fulfil,promote,affordable,clean,reliable,americans,act,add,exceed,agency,authority,admission,"1,000",premature,death,statistic,pounce,dirty,epa,prove,care,extend,old
,12,9,9,7,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 21, 2018 Friday",33 of 169 DOCUMENTS,USA TODAY,"Poll finds split priorities, heralding more disharmony","Susan Page and Bill Theobald, USA TODAY",NEWS; Pg. 5A,,705 words,,,"December 21, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,percent,democrat,republican,issue,Trump,go,health,care,top,Congress,agree,far,new,divide,take,voter,immigration,border,country,president,congress,agenda,people,erode,change,americans,else,poll,worry,investigate,administration,enough,reduce,illegal,wall,try,retire,among,pursue,need,policy,next,feel,priority,bipartisan,trump,six,include,suffer,cite,concern,independent,rank,last,climate,Washington,Democratic,government,charge,nation,much,today,suffolk,university,newly,empower,congressional,start,funding,begin,address,framework,gridlock,director,passionate,partisan,disagreeing,virtually,every,everybody,survey,become,office,january,2017,united,time,engineer,support,hillary,2016,vote,straight,ticket,heart,can,brain,good,investigative
,9,8,8,6,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2018 Friday",35 of 169 DOCUMENTS,USA TODAY,Can't sleep on it: Nights are hottest on record,"Doyle Rice, USA TODAY",NEWS; Pg. 6A,,257 words,,,"September 7, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,summer,temperature,record,heat,hottest,degree,night,U.S.,NOAA,nighttime,average,nationwide,june,july,climate,1895,warming,overnight,warmest,toss,turn,oppressive,august,ever,60.9,thursday,fact,every,state,minimum,scientist,define,three,aug.,go,back,inability,atmosphere,cool,sign,global,drive,change,general,begin,low,rate,nearly,twice,fast,afternoon,high,profound,effect,human,health,continue,hot,run,way,onto,next,recovery,university,tell,corp,set,never,drop,city,include,73.53,make,2018,2012,tie,history,remain,1936,height,National_Oceanic,Atmospheric_Administration,above_average,Climate,man_made,James_Goldie,Australia,New_South_Wales,Australian_Broadcasting,Burlington,Vermont,Las_Vegas,Brownsville,Texas,Caribou,Maine,Sault_Ste,Marie,Michigan
,8,6,6,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2018 Monday",36 of 169 DOCUMENTS,USA TODAY,Spring forecasts tricky as La Nia heads out,"Doyle Rice, USA TODAY",NEWS; Pg. 3A,,313 words,,,"March 22, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,la,niña,weather,el,affect,spring,U.S.,temperature,niño,across,prediction,center,Pacific_Ocean,ENSO,ENSO_neutral,next,phase,climate,pattern,know,warm,ocean,forecast,favor,favoring,tier,Climate,troublemaker,partly,responsible,extreme,dring,scorch,southwestern,expect,fade,away,scientist,place,neutral,officially,oscillation,mark,either,unusually,cool,seawater,central,around,world,define,opposite,colloquially,nada,midpoint,occur,near,average,although,way,continue,precipitation,decay,return,2018,consensus,transition,continuation,condition,thereafter,state,frustrating,forecaster,drive,without,decent,road,map,make,difficult,climatologist,cycle,primarily,fall,winter,less,summer,hurricane,season,however,fewer,storm,mean,outlook,generally,dry,southern,nation,cooler
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 26, 2018 Monday",37 of 169 DOCUMENTS,USA TODAY,Student marchers ponder next step; Young people want their presence felt at polls,"Christal Hayes, USA TODAY",NEWS; Pg. 3A,,860 words,,,"March 27, 2018",ENGLISH,,,photo Liz Dufour/USA TODAY NETWORK,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,gun,control,change,student,keep,march,make,election,movement,go,Parkland,take,group,effort,violence,rally,whether,call,debate,saturday,every,city,local,know,back,push,thing,education,focus,Aborn,across,life,million,high,school,shoot,rights,people,generation,background,lead,country,policy,many,clear,state,sure,americans,pressure,forward,member,difficult,crowd,vote,rip,apart,today,start,november,advocate,measure,happen,federal,wait,purchase,political,sweeping,include,successful,key,win,small,Washington,USA,NRA,walk,class,street,nation,powerful,way,attention,forge,fla,remarkable,organized,fierce,rare,endless,list,protest,cry,pleaded,law,immigration,woman,reproductive,climate,question
,15,8,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2018 Thursday",38 of 169 DOCUMENTS,USA TODAY,"Don't be a Scrooge with your business; Innovation, adaptation can keep ghosts away","Small Business, Rhonda Abrams, USA TODAY",MONEY; Pg. 4B,,759 words,,,"December 27, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,ghost,business,Small_Business,change,owner,past,future,employee,present,cut,small_business,Marley,christmas,partner,home,alone,look,customer,tax,appear,suddenly,scrooge,remember,visit,let,imagine,eve,close,shop,seven,safe,pour,fall,asleep,make,nasty,tweet,end,need,learn,friend,another,back,treat,well,honest,work,balance,excuse,instead,health,can,timmy,ok,Ebby,Scrooge,Rhonda,small,carol,tale,miserly,story,contemporary,stingy,blustery,spend,wife,die,ago,pull,heavy,burn,scotch,quickly,sound,clange,wake,chain,startle,knock,glass,onto,floor,jacob,glenfidditch,still,jerk,rip,underpay,bully,cheat,lie,vendor,post,competitor,unless,shackle,money,unhappy
