PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,dust,devil,air,Earth,warm,create,planet,soil,funnel,sand,debris,dry,environment,ground,surface,vortex,continent,particle,image,mar,NASA,gigantic,collage,paint,different,world,natural,process,serve,paintbrush,similar,appearance,common,desert,sun,early,afternoon,heat,rise,directly,surround,cooler,higher,sky,circulation,shape,call,depend,form,may,pick,become,visible,transport,pollen,across,ocean,ever,imagine,make,sneeze,another,spectrometer,monitor,ozone,measure,allow,scientist,study,action,fully,understand,significance,unique,however,find,extremely,lack,rain,surveyor,spacecraft,catch,recent,unlike,leave,track,travel,consider,art,face,whether,constantly,change,mini_tornadoes,Great_Basin,motion_air,funnel_like,Total,Ozone_Mapping
,11,9,6,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 2001, Wednesday",79 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH REVERSES CLEAN AIR PLAN; HE NO LONGER WANTS TO REGULATE CARBON DIOXIDE EMISSIONS,"SETH BORENSTEIN, KNIGHT RIDDER NEWSPAPERS","NATIONAL, Pg. A-1",,762 words,WASHINGTON,,"March 14, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,dioxide,carbon,Bush,policy,president,regulate,energy,emission,global,warming,environmental,campaign,power,plant,administration,promise,coal,utility,scientist,take,letter,plan,group,interest,mercury,sulfur,nitrogen,four_pollutant,make,change,public,reversal,business,vice,senator,must,back,away,national,electricity,price,oil,key,write,hagel,reduce,republican,time,industry,pollutant,oxide,put,recent,include,think,pursue,lobby,show,Cheney,Clean_Air_Act,Whitman,reverse,pledge,last,september,announce,contribute,position,contradict,stance,recently,protection,agency,chief,reflect,sensitivity,pressure,big,direct,oversight,new,mistake,tell,crisis,high,burn,fossil,fuel,especially,produce,ingredient,world,top,reiterate,earlier,report,sen,chuck,use
,16,12,10,9,8,8,8,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2001, Thursday",81 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),READ MY SUPPORTERS; BUSH BACKS AWAY FROM HIS EMISSIONS PLEDGE,,"EDITORIAL, Pg. A-16",,267 words,,,"March 15, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,president,must,global,whitman,emission,power,warming,believe,consumer,policy,carbon,dioxide,director,debate,mrs,ice,cap,Bush,classic,case,special,interest,trump,general,welfare,renege,campaign,pledge,reduce,greenhouse,gas,plant,move,scientist,largely,agreement,human,impact,conclude,effect,climate,change,devastating,previously,careful,take,action,harm,write,senator,letter,announce,reversal,cost,weigh,consider,consequence,inaction,factor,equation,coal,company,electricity,producer,lob,hard,stave,regulation,find,willing,audience,vice,secretary,spencer,abraham,christie,actually,role,protect,environment,lose,side,although,signal,administration,commitment,reduction,hesitate,decide,spokesman,follow,lead,decade,polar,continue,thin,glacial,vanish,top
,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2001, Monday",82 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO HEADLINE,,"NATIONAL, Pg. A-4, NATIONAL BRIEFS",,613 words,,,"April 6, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,school,percent,charge,serious,survey,high,boy,sexual,middle,announce,take,past,girl,student,assault,warming,americans,reduce,emission,carbon,dioxide,global,poll,release,last,administration,find,consider,problem,three,violence,five,accord,among,show,hit,person,shoot,today,friday,teacher,resign,coach,medal,receive,airborne,Bush,teen_agers,Donald_Ray_Burt,Burt,Boyd,France,president,develop,plan,gas,blame,cause,temperature,increase,reverse,campaign,promise,pull,international,agreement,aim,combate,climate,change,pullout,four,fairly,angeles,majority,teens,use,weapon,institute,random,conduct,"15,000",nationwide,someone,anger,believe,ok,threaten,make,angry,teen,gunman,accuse,fatally,outside,schedule,formally,murder,investigator
