PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 29, 2011 Monday",5 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CLEARED OF WRONGDOING, PENN STATE CLIMATOLOGIST STILL SEES 'SMEARS'",PITTSBURGH POST-GAZETTE,STATE; Pg. B-4,,696 words,,,"August 30, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,email,climate_change,research,investigation,include,climate,mann,hack,science,claim,change,Mr._Mann,controversy,prove,mo,continue,researcher,three,issue,proof,fraudulent,2009,critic,data,manipulate,reflect,statement,other,false,allegation,word,context,denial,colleague,lot,smear,campaign,scientist,world,debate,occur,subject,Penn_State,United_Kingdom,NSF,begin,nearly,ago,try,e.,climatologist,behind,national,foundation,clear,wrongdo,connection,skeptic,consider,doctor,geology,geophysics,serve,director,already,central,figure,late,stronger,lightning,rod,presidential,candidate,aug,inspector,general,conclude,flaw,close,case,represent,last,seven,heist,personal,flippant,describe,reckless,injudicious,four,nsf,dispell,justify,conclusion,seventh,arise,leak,denier,mining
"August 12, 2011 Friday",46 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO UNCERTAINTY,ERNIE RETETAGOS,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,115 words,,,"August 12, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,climate,change,debate,regard,scientific,aug,commentary,economics,professor,time,rein,several,statement,blatantly,untrue,continue,rage,whether,greenhouse,gas,cause,enough,harmful,human,being,uncertain,link,economic,political,environmental,study,show,occur,rapidly,previously,think,irrefutable,fact,planet,warmer,consequence,negative,mankind,responsibility,retetago,shaler,EPA,CO2,ERNIE
,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 22, 2011 Monday",51 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CLIMATE AND THE SUN,TIM KELLY,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,169 words,,,"August 23, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,climate,sun,solar,factor,activity,change,slight,cool,trend,global,warming,recent,write,regard,letter,fuel,aug.,subject,sunspot,remark,incorrect,rule,fact,total,irradiance,minimum,follow,blog,skeptical,science,number,independent,measurement,indicate,show,1960,period,temperature,last,move,opposite,direction,analysis,conclude,actually,contribute,influence,decade,lockwood,2008,give,finding,state,push,ocean,toward,extinction,event,longer,bandy,point,back,forth,kelly,aleppo,Larry_Rogers,Valencia,Mr._Rogers,International_Programme,Oceans,TIM
,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2011 Sunday",55 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CLIMATE CHANGE EXTENDS RAGWEED SEASON, STUDY FINDS","Eryn Brown, Los Angeles Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,274 words,,,"February 28, 2011",ENGLISH,,,PHOTO: Associated Press: The pollen on a ragweed plant.,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,increase,pollen,season,hay,fever,least,ragwee,Saskatoon,allergy,become,researcher,change,length,study,number,plant,author,report,people,imagine,sneezy,nose,itchy,eye,increasingly,prevalent,last,three,decade,cost,americans,billion,point,possible,factor,climate,recent,associate,warming,accord,release,monday,proceedings,science,look,count,weather,data,location,spanning,"1,300",mile,central,part,determine,1995,2009,latitude,period,five,site,extend,north,trend,track,projection,well,shift,hardiness,zone,upper,midwest,weed,summer,fall,percent,population,cite,may,cause,seasonal,allergic,rhinitis,combine,longer,higher,level,bring,sensitize,duration,severity,symptom,already,write,National_Academy,North_America,Georgetown,Texas,Canada
,7,7,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2011 Sunday",63 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GREENLAND EMBRACES GLOBAL WARMING,"Joby Warrick, The Washington Post",WORLD; Pg. A-5,,296 words,,,"May 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,change,longer,Greenland,island,last,climate,secretary,global,season,grow,vegetable,meeting,United_States,Clinton,place,earth,starker,weather,icebound,straddling,mind,top,diplomat,arrive,week,intent,call,attention,peril,problem,greenlanders,exactly,complain,fact,state,tour,fjord,thursday,awkward,reminder,embrace,rise,temperature,begin,decade,ago,rather,question,warming,many,"60,000",inhabitant,seem,racing,cash,tiny,capital,brace,record,number,visitor,retreate,sea,ice,mean,tourist,cruise,ship,hunter,boast,bigger,caribou,annual,cod,migration,start,earlier,far,south,farmer,try,hand,exotic,form,agriculture,short,local,journalist,ms.,visit,several,jarr,contradiction,threaten,time,distract,message,travel,"2,000"
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2011 Sunday",64 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NEW RISKS TO NATIONAL PARKS,"Shannon M. Nass, Special to the Post-Gazette",OUTDOORS; Pg. DD-1,,348 words,,,"July 12, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,park,national,study,report,resource,plan,Kiernan,change,include,America,show,climate,development,funding,best,health,president,association,call,action,condition,cultural,anniversary,lead,National_Park_Service,five_year,peril,accord,state,release,group,center,far,badly,face,pollution,invasive,species,energy,adjacent,land,shortfall,idea,jeopardy,base,percent,sample,394,among,risk,region,consider,budget,cut,impact,despite,issue,cite,hope,identify,many,place,give,appropriate,leadership,collaborative,partner,able,dramatically,enhance,natural,prepare,celebrate,95th,august,time,ripe,administration,effort,craft,service,100th,recommendation,conservation,recommit,federal,policy,reintroduce,native,wildlife,implement,adaptation,mitigation,better,manage,large,landscape,conserve,restore
,11,8,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 31, 2011 Sunday",66 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HUMAN RUN-INS WITH BEARS MAY PORTEND DEEPER CHANGES,"Kirk Johnson, The New York Times",NATIONAL; Pg. A-6,,799 words,,,"August 2, 2011",ENGLISH,,,"PHOTO: Associated Pres:s This undated photo, courtesy of Bearizona Wildlife Park, shows a bear crossing the road in Bearizona Wildlife Park in Williams, Ariz. Bearizona, which opened last year, is home to lots of animals, from buffalo, free-ranging bighorn sheep, burros and wolves in the drive-thru area to babies in the walk-through section. But the main attraction is the drive-thru black bear paddock. PHOTO: Loren Holmes/Associated Press: Samuel Gottsegen, 17, recounts his experiences as one of the victims of a bear attack that occurred last weekend near Talkeetna, Alaska, as he recovers in an Anchorage hospital last week. Mr. Gottsegen was taking part in an outdoor education course from the National Outdoor Leadership School.",,,Newspaper,Copyright 2011 P.G. Publishing Co.
,bear,human,last,black,people,pattern,food,kill,wildlife,Colorado,kitchen,week,dring,around,recent,end,door,new,behavior,wood,time,colorado,major,dangerous,place,animal,climate,change,scientist,especially,grizzly,search,encounter,run,back,close,go,wild,hospital,teenager,hiker,death,park,bit,question,live,research,conflict,population,often,study,species,important,season,state,nature,sometimes,example,official,public,natural,Smith,Yellowstone,Durango,colo,w.,smith,practical,advice,offer,trail,runner,many,southern,seem,bigger,biology,home,college,downstairs,breakfast,find,refrigerator,slurp,dog,dish,unpredictable,always,prowling,broader,area,closer,contact,ever,drive,wilder,haunt,settlement,disrupt
,28,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 2011 Saturday",73 of 385 DOCUMENTS,Pittsburgh Post-Gazette,"UN CONFERENCE STRUGGLES TO REACH CLIMATE DEAL; U.S., CHINA, INDIA OPPOSE PROPOSAL BY EUROPEAN UNION","Arthur Max, Associated Press","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,570 words,,,"December 13, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,country,emission,China,commitment,conference,carbon,develop,United_States,India,negotiator,industrial,agreement,EU,Kyoto,U.S.,rise,global,next,delegate,night,meeting,try,rest,continue,climate,nation,future,reason,refuse,stand,deal,protester,bind,bound,reduce,take,negotiate,tough,U.N.,tiny,island,threaten,ocean,world,poorest,seek,keep,alive,treaty,govern,warming,move,stage,struggle,unlikely,alliance,work,friday,stretch,past,hour,suppose,end,look,second,expect,last,dawn,today,map,pathway,toward,limiting,greenhouse,gas,decade,beyond,2020,scientist,unless,chiefly,dioxide,power,generation,industry,reverse,within,planet,set,possibly,irreversible,path,temperature,lead,greater,catastrophe,120,sign,vision
,11,7,6,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2011 Friday",88 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CORPORATE ASTROTURF,"MIKE USMAN, M.D.",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,332 words,,,"August 12, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,climate,miller,article,pg,publish,piece,rein,change,discredit,scientific,regulation,give,part,fund,foundation,conspiracy,think,Center,disappointed,blatant,disinformation,c.,time,aug,refer,academic,credential,economist,case,try,consensus,phrase,debate,continue,rage,uncertain,link,praise,propose,weigh,environmental,protection,potential,harm,corporate,profit,roll,back,polluter,free,note,dr.,contribute,writer,stewardship,creation,alliance,actually,consortium,interconnect,company,va.,work,science,primarily,family,report,progress,launch,five,ago,religious,overtone,propaganda,oppose,call,evangelical,leader,protect,environment,cornwallian,go,far,declare,movement,false,religion,empower,eugenicist,create,global,government,surprisingly,group,theory,promote,show,last,october
,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2011 Sunday",91 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DECLINE OF PREDATOR FISH ALARMS PANEL,"Marc Kaufman, The Washington Post","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. C-4",,774 words,,,"March 1, 2011",ENGLISH,,,PHOTO: Yoshikazu Tsuno/AFP/Getty Images Fishmongers carry out checks on frozen bluefin tuna before an auction at Tokyo's Tsukiji fish market.,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,fish,ocean,catch,fishing,human,place,decline,past,predator,decade,change,lion,antelope,smaller,species,percent,take,population,area,grow,East_Asia,China,large,likely,small,anchovy,cod,feed,ecological,expert,fishery,go,panel,question,use,people,research,overall,study,result,mr.,team,2006,water,however,effort,much,especially,demand,increase,climate,University,Mr._Christensen,100,consume,ahead,rest,perish,sardine,flourishing,absence,tuna,grouper,traditionally,create,imbalance,forever,think,centre,everywhere,lose,pretty,soon,nothing,grim,reckon,present,advancement,annual,meeting,feb,ask,2050,predict,primarily,variety,currently,oil,meal,farm,infrequently,develop,taste,capelin,overfished,document,collapse,salmon,new
,22,8,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2011 Saturday",99 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FALLING SATELLITE COULD END WHERE IT BEGAN, NASA SAYS; RATE OF DESCENT ALTERS PREDICTIONS","Joel Achenbach, The Washington Post","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. A-3",,387 words,,,"September 27, 2011",ENGLISH,,,"PHOTO: NASA: NASA said its Upper Atmosphere Research Satellite was not behaving as expected: ""There are random forces of nature acting on the satellite that we can neither control nor predict.""",,,Newspaper,Copyright 2011 P.G. Publishing Co.
,friday,satellite,NASA,change,UARS,space,piece,time,United_States,fall,potential,crash,hour,beyond,control,expect,small,planet,predict,afternoon,show,forecast,land,re_entry,North_America,lazily,appear,head,toward,return,many,site,handful,go,life,remain,exceedingly,unpredictable,tumble,completely,ground,engineer,shower,junk,across,linear,zone,variation,timing,mean,vast,difference,design,help,scientist,understand,climate,circle,inclination,path,take,every,half,freeze,north,frigid,seas,tip,back,arrive,evening,slowed,thursday,eagerness,leave,random,force,nature,act,neither,spokeswoman,night,large,consequence,case,orientation,spacecraft,10:45,a.m.,put,new,target,still,low,probability,debris,survive,possibility,discount
,7,6,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2011 Wednesday",111 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AMERICANS SPLIT ON HEALTH CARE,Compiled from news services,NATIONAL; Pg. A-7,,537 words,,,"January 26, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,percent,tuesday,fall,ballot,market,law,repeal,court,case,housing,city,price,health,expand,replace,czar,energy,step,official,signal,environmental,ms,side,include,whether,name,appeal,decide,take,federal,home,n.c.,hit,lowest,point,nearly,toss,judge,lawsuit,death,contractor,cost,WASHINGTON,American,White_House,attitude,toward,change,care,map,foundation,harvard,school,survey,report,2010,insurance,leave,alone,back,idea,largely,along,partisan,line,republican,support,sort,quit,president,controversial,climate,soon,move,lobbyist,another,administration,make,amend,alienate,business,community,reconsidering,regulation,many,environmentalist,part,resignation,retreat,protection,watch,closely,next,successor,browner,person,mandate,illinois,highest
,6,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 17, 2011 Saturday",118 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE SCIENCE MATTERS,"GENEVIEVE MANN, Highland Park",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,90 words,,,"September 21, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,opinion,columnist,climate,thanks,really,thoughtful,section,aug,excellent,commentary,reality,global,warming,fact,street,understand,run,appear,keep,best,scientific,finding,regard,change,quite,willing,read,variety,long,think,author,write,ignorance,issue,David_Brooks,Dan_Simpson,Brenda_Ekwurzel,Evident_Right,Pittsburgh,Jack_Kelly
,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2011 Tuesday",125 of 385 DOCUMENTS,Pittsburgh Post-Gazette,"CANADA SAYS IT WILL ABANDON KYOTO CLIMATE TREATY; ENVIRONMENT MINISTER PETER KENT SAID CANADA COULD MEET ITS COMMITMENT ONLY THROUGH EXTREME MEASURES, SUCH AS PULLING ALL MOTOR VEHICLES FROM ITS ROADS AND SHUTTING HEAT OFF TO EVERY BUILDING IN THE COUNTRY.","Ian Austen, The New York Times",WORLD; Pg. A-4,,471 words,,,"December 13, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,Canada,treaty,meet,agree,target,government,emission,penalty,withdraw,reduce,nation,develop,country,agreement,decision,billion,South_Africa,accord,major,never,conference,negotiate,without,conservative,failure,reduction,commitment,extreme,horne,surprise,happen,Kyoto_Protocol,China,India,Durban,Liberal_Party,monday,1997,greenhouse,gas,industrialize,mandate,impose,ratify,commit,fray,participant,renew,sunday,replace,instead,200,represent,begin,process,new,resolve,core,issue,whether,requirement,apply,equally,party,long,expect,entry,disguise,disdain,announce,official,indicate,possibility,huge,fine,play,role,kyoto,past,environment,minister,tell,reporter,shortly,return,add,work,toward,include,particularly,look,emitter,rule,must,formally,give,notice,intention,end
,13,8,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2011 Thursday",127 of 385 DOCUMENTS,Pittsburgh Post-Gazette,TRUTH TO POWER,JACK OCHS,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,111 words,,,"December 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,climate,envoy,greenhouse,gas,long,regard,u.,shift,position,talk,dec.,kudo,junior,interrupt,speech,conference,global,change,speak,truth,power,obstructionist,shackle,justice,delay,ambition,control,far,2020,late,wait,need,urgent,path,fair,ambitious,legally,bind,treaty,nation,put,per,capita,past,time,stop,shirk,responsibility,child,grandchild,och,point,breeze,Abigail_Borah,Middlebury_College,U.S.,U.N.,Congress,United_States,JACK
,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2011 Wednesday",128 of 385 DOCUMENTS,Pittsburgh Post-Gazette,TO STOP BULLYING,JAMES BOZIGAR,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-16,,364 words,,,"December 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
,bullying,student,school,program,target,everyone,feel,work,behavior,support,give,violence,impact,create,climate,stop,change,prevention,hear,make,safer,story,gym,locker,room,go,verbal,Highmark_Foundation,although,much,news,dec.,article,prevent,valuable,insight,reduce,among,child,adolescent,peer,abuse,devastating,witness,well,fear,jeopardize,tool,teacher,administrator,together,take,power,away,engage,safe,generous,implement,400,pennsylvania,past,five,largest,research,effectiveness,world,result,compile,show,significant,reduction,increase,overall,decrease,act,statistic,indicate,positive,better,way,evaluate,discuss,secure,able,concentrate,learn,share,pretty,vicious,several,minute,nearby,loudly,enough,know,guy,really,funny,report
,11,10,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 15, 2011 Tuesday",134 of 385 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NOTHING NEW IN GLOBAL WARMING DEBATE,JACK KELLY,EDITORIAL; VIEWPOINTS; Pg. A-7,,561 words,,,"November 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 P.G. Publishing Co.
