PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,people,Pittsburgh,go,kind,job,city,have,think,issue,thing,need,change,work,place,area,private,level,transportation,public,way,company,technology,development,something,plan,become,make,growth,pittsburgh,much,community,conversation,problem,capital,vision,Atlanta,center,happen,economy,downtown,look,lot,continue,yet,big,mass,high,tech,new,idea,help,stadium,convention,renaissance,tangible,project,transformation,along,early,economic,term,different,great,commercial,connection,traffic,congestion,enough,occur,direction,effort,major,use,create,old,category,study,relevant,leadership,lead,side,land_use,government,little,either,accomplishment,point,overall,may,county,percent,do,well,next,five,older,environmental,clean,air
,21,18,13,10,10,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 6, 1999, Saturday",55 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"OUR RENDEZVOUS WITH DESTINY; A CHILD OF WWI SURVEYS THE 20TH CENTURY: WHAT A LONG, STRANGE TRIP IT'S BEEN",GENE JANNUZI,"EDITORIAL, Pg. A-11, FIRST PERSON",,947 words,,,"February 9, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,generation,century,world,war,we,fin,de,siecle,mean,ii,much,speed,give,thing,time,young,name,phrase,call,word,different,seem,change,never,speech,president,rendezvous,2000,20th,grow,remember,doubt,rather,millennium,childhood,fly,light,fine,back,use,refer,19th,end,effete,thus,gay,today,people,21st,grandparent,school,quite,go,tv,coal,must,glance,backward,destiny,still,decade,radio,life,dec.,leap,look,another,plus,play,kiss,sigh,Great_Depression,French,Rick,Sam,1930,age,bear,forget,show,terminal,sign,mix,marvelous,tawdry,among,witness,scientific,technological,advance,history,human,race,horse,buggy,build,car,efficient,mph
,10,9,7,7,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 4, 1999, Sunday",56 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MEXICO SAYS 'ADIOS' TO SIESTA IN THE WORKPLACE,"JENALIA MORENO, THE HOUSTON CHRONICLE","WORLD, Pg. A-12",,692 words,HOUSTON,,"April 6, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,siesta,lunch,government,work,Mexico,take,worker,hour,break,company,million,return,sleep,United_States,Mexico_City,end,give,industry,change,business,p.m.,small,often,office,employee,nap,three_hour,thursday,catch,society,long,save,annually,electric,make,schedule,compatible,biggest,answer,people,time,oil,effect,official,p.m,include,mexicans,midday,exist,especially,village,meal,become,loss,week,U.S.,Mexican,custom,big,fundamental,shift,decade,implement,new,elimination,192,bill,try,privatize,nation,customer,halt,machine,find,call,someone,usually,americans,plus,trade,important,consideration,rise,export,keep,economy,grow,low,price,batter,plan,announce,last,popular,1.5,recognize,ease,rule,nearly
,13,10,10,8,8,7,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 22, 1999, Tuesday",59 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SIGNS OF CHANGING TIMES; RIVERFRONT TRAIL MARKERS POINT THE WAY TO GREENER FUTURE,"DON HOPEY, POST-GAZETTE STAFF WRITER","LIFESTYLE, Pg. D-1",,1474 words,,,"June 29, 1999",ENGLISH,,,"PHOTO (2), MAP, PHOTO: (For two photos) Above, one of the interpretive signs that has; been placed along the Three Rivers Heritage Trail. The sign includes the text; inset about iron and steel workers, although the type style has been changed; here for publication. Below, a portion of an interpretive sign about Allegheny; City.; MAP: James Hilston/Post-Gazette: (New trails)",,,,Copyright 1999 P.G. Publishing Co.
,trail,city,Pittsburgh,conservancy,Murphy,use,new,make,Rails_to_Trails,change,people,sign,along,conference,worker,hill,tell,river,site,among,bridge,think,information,Eliza_Furnace_Trail,Westin_William_Penn,shift,steel,life,live,become,old,way,riverfront,hard,run,second,international,greenway,community,tomorrow,feature,seminar,friday,department,p.m.,development,buy,property,lose,money,parking,Monongahela,Greenways_Conference,Downtown,industry,nation,work,industrial,movement,neighborhood,world,mayor,tom,story,go,thing,today,direct,interpretive,place,marker,eight,friend,historical,include,many,early,part,future,expect,attract,livable,begin,saturday,list,transportation,local,group,start,example,develop,three,policy,cyclist,much,bike,connect,take,authority
,26,19,11,8,8,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 3, 1999, Wednesday",71 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DIVERSITY POLICY CRITICIZED FOR LANGUAGE,TAWANDA W. JOHNSON,"METRO, Pg. N-5",,498 words,,,"March 4, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,district,diversity,policy,student,community,director,educational,member,school,faculty,Sewickley_Academy,language,embrace,develop,document,joy,resident,tell,board,negative,daughter,success,create,staff,environment,seek,population,state,every,diverse,prepare,enhance,understanding,cultural,economic,committed,challenging,Jillian,Joy_Woodruff,propose,revise,need,warm,accord,attend,meeting,help,maxberry,woodruff,to,parent,last,week,think,legalistic,reactionary,former,cornerback,deal,racism,1995,assistant,play,key,role,little,woman,cast,apologize,institute,training,despite,experience,flourish,credite,awesome,extracurricular,activity,creative,teacher,much,build,story,must,let,know,strife,affirm,draft,objective,shall,foster,human,acknowledge,encourage,show,respect,tolerance,civility
,7,6,6,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 17, 1999, Monday",75 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RUBIN RESIGNS; A CABINET MEMBER, FOR ONCE, QUITS UNDER BLUE SKIES",,"EDITORIAL, Pg. A-12",,422 words,,,"May 17, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,economic,Mr._Rubin,president,secretary,post,mr.,summer,Clinton,U.S.,prosperity,deserve,credit,mo,rubin,family,treasury,head,policy,mind,low,another,break,economist,Treasury,Washington,Mr._Greenspan,often,seem,midterm,departure,cabinet,official,occur,cloud,scandal,failure,refresh,bid,adieu,climate,much,resign,last,week,return,nearer,become,1995,follow,resignation,appointee,former,sen,lloyd,bentsen,earlier,serve,persuade,create,approval,widespread,inside,outside,across,political,divide,among,financier,leave,successful,career,investment,banker,answer,call,praise,cool,steady,hand,sharp,warm,heart,case,valedictory,tribute,appropriate,simplistic,attribute,national,completely,particular,administration,sage,counsel,together,guidance,federal,reserve,help
,7,6,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 1999, Sunday",76 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CHINA FORECAST: CHILLY, BUT NOT COLD; ANXIETY AND BAD VIBES ABOUND, BUT THE U.S. RELATIONSHIP WITH CHINA IS CEMENTED; BY TRADE",ANN MCFEATTERS,"EDITORIAL, Pg. C-3, WHITE HOUSE WATCH",,801 words,WASHINGTON,,"June 8, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,China,Clinton,Chinese,trade,U.S.,president,normal,status,despite,spy,world,time,relation,Congress,United_States,American,leader,Bush,America,ago,huge,afraid,go,relationship,make,new,continue,effort,plead,organization,rhetoric,take,policy,potential,goods,feed,spying,cold,war,bad,anger,stupid,percent,trip,Beijing,White_House,amazing,less,accompany,entourage,lot,we,reporter,tow,former,raising,glass,liquor,sumptuous,feast,borrowing,old,proverb,slowly,stand,still,talk,desperately,eager,much,warmer,hallmark,presidency,press,conference,predict,democratic,lifetime,deja,vur,repressive,approach,govern,mollify,urging,formerly,know,report,detail,incredible,ineptitude,nation,defense,determine,ept,gain,access,top,nuclear
,21,9,8,7,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 8, 1999, Thursday",80 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LOTS OF PEOPLE SAY THEY DON'T LIKE TO COOK BECAUSE,,"FOOD, Pg. X-4",,813 words,,,"December 2, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,finger,eat,food,use,fork,sauce,wing,tablespoon,cook,oil,chicken,pick,hand,fries,knife,leave,dip,handle,either,bad,manners,formal,onto,chop,ok,look,cut,hoisin,heat,lot,touch,raw,feel,squeeze,rub,utensil,distinct,rule,setting,thing,fine,grill,stand,avoid,try,simple,make,spear,unless,limp,way,plate,whole,pastry,tail,mixture,hot,rice,vinegar,sesame,soy,water,vegetable,fresh,ginger,mince,medium,garlic,cilantro,small,stir,Asian,people,icky,clammy,smear,baking,pan,messy,stuff,turkey,gross,right,learn,good,intimate,relationship,press,pinch,massage,many,culture,chopstick,americans,saddle,numerous,metal,global,minority
,16,14,8,8,8,8,7,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 1999, Sunday",88 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PADDLING ACROSS TIME,"DON HOPEY, POST-GAZETTE STAFF WRITER","STATE, Pg. B-1",,1710 words,"WATERFORD, Pa.",,"December 30, 1999",ENGLISH,,,"PHOTO 3, Photo: Annie O' Neill/Post-Gazette photos: Professional re-enactor; Bryan Simpers, from Virginia, portrays a young George Washington crossing the; French Creek in Waterford, Pa., as part of a weeklong re-enactment; highlighting the historic canoe trip.; Photo: Mary Homza of Pittsburgh played the wife of a French Marine re-enactor; for the day.; Photo: French Marine re-enactors demonstrate the use of guns at the campsite.; Map: French Creek Project; Ted Crow/Post-Gazette: (Colonial era creek)",,,,Copyright 1999 P.G. Publishing Co.
,canoe,Washington,creek,water,four,French_Creek,paddle,begin,species,float,French,Gist,trip,stream,much,start,bank,take,paddler,make,canoeist,history,people,re_enactment,Hill,wind,still,travel,diversity,cold,fish,major,wool,school,route,along,concern,fall,keep,know,pupil,final,wave,French_Creek_Project,Simpers,Franklin,chill,watersh,december,tooth,dead,bring,back,life,highlight,historic,emphasize,director,work,local,community,ago,value,visit,riffle,pool,kind,mussel,include,game,northern,list,endangered,refuge,river,system,allow,dec.,onto,leboeuf,va.,period,threfall,summer,set,elementary,brown,several,lot,handful,state,site,something,time,use,run,place,tree,freeze
,19,18,16,11,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 30, 1999, Thursday",90 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),VOLUNTEERS FIND THEY GET A LOT OUT OF GIVING,"ERVIN DYER, POST-GAZETTE STAFF WRITER","LOCAL, Pg. B-1",,1964 words,,,"December 30, 1999",ENGLISH,,,"PHOTO 5, Photo: Matt Freed/Post-Gazette: Volunteer Sean McCaskill, left,; gives instructions to Ricardo Briskey, 10, of the Hill District, and Amir; Carter, 9, of Oakland, on the proper stance for a catcher.; Photo: Martha Rial/Post-Gazette: Volunteer Adrienne Little, right, of Shaler; washes off a toddler's walker, while Colleen Pegher, 6, of Greenfield takes a; spin while playing at the Center for Creative Play at Station Square.; Photo: Matt Freed/Post-Gazette: Charlene Cotton, left, puts the leash on Bo,; her chocolate Labrador retriever, while Lanica Jones, 13, rests with her; Chihuahua. The two are involved in the Big Brothers/Big Sisters program.; Photo: Robert J. Pavuchak/Post-Gazette: Volunteers of the year, from left,; Adrienne Little, Charlene Cotton, Johnnie Mae Middleton, Sean Gibson and Sean; McCaskill.; Photo: Volunteer of the year Kristy Grecni.",,,,Copyright 1999 P.G. Publishing Co.
,volunteer,Cotton,work,Middleton,make,volunteering,life,Lanica,child,big,people,brother,go,sister,community,friend,project,Pittsburgh_Cares,help,time,league,team,health,feel,new,group,public,take,Gibson,Little,give,many,last,reach,remain,become,way,open,relationship,organization,lot,McCaskill,mind,tell,hour,follow,other,little,different,determination,difference,lesson,need,experience,part,easy,past,problem,commitment,reward,grow,still,housing,coach,next,back,something,care,enough,social,require,know,effort,Sean_Gibson,Grecni,gift,start,program,school,hand,lunch,begin,1999,much,keep,young,state,six,spirit,check,charitable,charlene,path,speak,prepare,love,especially,balance,expert
