PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,artist,conversation,p.m.,curator,work,art,contemporary,history,20/20,draw,saturday,American,exhibition,open,mr.,collection,way,include,ms.,hunt,museum,student,age,member,Art,Studio_Museum,Harlem,Crosby,music,food,truck,discussion,workshop,reflect,aspect,change,present,nation,time,president,show,make,find,invite,difference,material,dialogue,gallery,space,print,photograph,black,oppose,exhibit,admission,free,sunday,thursday,Carnegie_Museum,Mr._Crosby,African_American,Pippin,James,create,unusual,collaboration,weekend,participatory,artwork,comprise,institution,choose,modern,director,education,public,program,former,associate,select,climate,1920,intent,inspire,consideration,complex,role,may,play,inspiring,transformative,begin,organize,still,interesting,thing,shift,course,plan
,8,7,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2017 Thursday",243 of 294 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: ARTS & ENTERTAINMENT; MOVIE GUIDE; Pg. W-17,,,,1412 words,,,"August 4, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,min,language,nv,Westmoreland,Phoenix_CV,AMC_Delmont,Tarentum,violence,waterwork,Waterfront,Cinemark_Monroeville,North,Cranberry,***,brief,SouthSide_Works,action,dependable,South_Hills,Robinson,star,sequence,Lebanon,AMC_Waterfront,thematic,strong,return,image,sexual,story,Cinemark_Tarentum,**,manor,nudity,content,mt,voice,Penn_Hills,THE,sci_fi,friday,material,director,lose,pg,element,movie,throughout,sexuality,life,base,car,force,war,intense,disturbing,suggestive,AMC_Westmoreland,Phoenix_NV,man,include,pervasive,inconvenient,sequel,power,former,child,work,peril,graphic,115,driver,comedy,crime,****,parent,reference,new,animated,villain,rude,humor,trap,106,portray,home,drug,start,tull,rachel,transformer,film,series,discover,deadly,thursday,time,section,AMC_Mt
,24,15,13,13,13,12,12,11,11,11,10,9,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 10, 2017 Thursday",245 of 294 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: ARTS & ENTERTAINMENT; MOVIE GUIDE; Pg. W-16,,,,1500 words,,,"August 11, 2017",ENGLISH,,,"PHOTO: DUNKIRK *** 1/2: Director Christopher Nolan (""The Dark Knight"") tells the story of Allied forces trapped on a beach in northern France during World War II. With Cillian Murphy, above, Tom Hardy and Kenneth Branagh. PG-13 for intense war experience and some language. 106 min. AMC Delmont, Mt. Lebanon, South Hills, Waterfront & Westmoreland; Century Square; Cinemark Monroeville,North, Robinson & Tarentum; Cranberry; Dependable; Manor; Phoenix CV & NV; SouthSideWorks; Tull; Waterworks.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,min,Waterfront,Westmoreland,Phoenix_CV,nv,language,AMC_Delmont,violence,Tarentum,Cinemark_Monroeville,Cranberry,action,South_Hills,Century_Square,SouthSideWorks,***,dependable,thematic,content,North,waterwork,sequence,star,sexual,brief,THE,Lebanon,film,lose,pg,story,manor,voice,**,return,image,Robinson,Cinemark_North,Penn_Hills,AMC_Waterfront,Cinemark_Tarentum,sci_fi,friday,horror,girl,child,base,mt,time,rate,must,rude,humor,movie,strong,throughout,nudity,include,car,material,element,suggestive,Cinemark_Robinson,Phoenix_NV,creation,dollmaker,home,109,dysfunctional,family,mother,artist,starr,involve,man,peril,friend,sexuality,115,driver,comedy,crime,life,work,****,new,animated,sequel,villain,former,director,dark,pervasive,crude,graphic,drug,inconvenient,transformer,series
,25,14,14,14,12,12,12,11,11,10,9,8,8,8,8,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 14, 2017 Monday",246 of 294 DOCUMENTS,Pittsburgh Post-Gazette,VIGIL IN OAKLAND DENOUNCES VIOLENCE TIED TO WHITE SUPREMACISTS IN VIRGINIA; CIVIL RIGHTS LEADER SAYS U.S. HAS HIT A NEW LOW,"Julian Routh, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,429 words,,,"August 15, 2017",ENGLISH,,,"PHOTO: Stephanie Strasburg/Post-Gazette: Aimee Murphy, 28, of Beechview holds a sign Sunday evening at a vigil at Schenley Plaza in Oakland for those injured and killed in Charlottesville, Va.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,white,rally,people,mr.,vigil,hold,solidarity,give,Pittsburgh,way,sunday,call,peace,supremacist,feel,new,violence,chapter,socialist,fascism,ms,stand,job,reflection,Charlottesville,America,American,repeat,full,circle,protest,condition,black,classmate,evening,shadow,cathedral,learn,racial,equality,wake,deadly,va.,weekend,idea,walk,around,street,torch,2017,beyond,comprehension,chairman,empowerment,project,hurtful,we,have,hit,low,country,many,steven,couple,hundred,gather,condemn,charlottesville,result,several,injury,death,kill,car,drive,ohio,man,plow,crowd,protester,organized,attendee,sign,phrase,change,everything,need,everyone,criticize,president,response,social,justice,300,member,design,venue,mourn,heyer
,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2017 Tuesday",251 of 294 DOCUMENTS,Pittsburgh Post-Gazette,WE NEED BOLD INVESTMENT IN OUR NATION,DAVID GRAY,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-8,,244 words,,,"August 29, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,need,new,tax,poor,well,reform,pay,we,age,wealthy,powerful,deeply,fracture,republican,may,unite,around,call,likely,offer,crumb,ordinary,person,engineer,windfall,rich,corporate,welfare,king,queen,luxuriate,entitlement,massive,break,cruise,million,yacht,start,540,billionaire,thousand,multimillionaire,people,little,wait,another,granite,countertop,upgrade,audi,really,hurt,standard,live,especially,percent,youth,salvage,rather,waste,provide,complete,health,care,critical,humane,support,go,small,business,nation,still,great,many,way,stall,slipping,desperately,bold,building,investment,program,road,bridge,pipe,charge,ahead,alternate,energy,cyber,reality,climate,change,engender,innovation,assure,continue,prominent,place
,6,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 30, 2017 Wednesday",252 of 294 DOCUMENTS,Pittsburgh Post-Gazette,ALIENATING THE WORLD; AMERICANS CAN'T PRETEND TRUMP'S UTTERANCES AND ACTIONS DON'T MEAN ANYTHING,Dan Simpson,EDITORIAL; Pg. A-7,,970 words,,,"August 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,Mr._Trump,president,policy,foreign,try,America,americans,leader,figure,question,must,deal,already,include,mean,process,whether,tax,long,senior,Congress,American,though,case,office,confidence,attack,simply,degree,program,chance,political,depend,electorate,job,let,pass,raise,imagine,people,behavior,way,lobbyist,around,pursue,nuclear,weapon,make,wonder,might,may,hate,family,best,interest,country,work,official,secretary,media,Washington,Canada,Middle_East,U.S.,business,elect,nonetheless,seven,lose,rest,world,mcconnell,certainly,shortcoming,well,key,congressional,sen,cancer,victim,war,hero,former,presidential,candidate,wash,little,idea,somehow,pound,submission,show,massive,misunderstanding,governmental,senator,state,representative,district
,11,10,9,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 6, 2017 Wednesday",256 of 294 DOCUMENTS,Pittsburgh Post-Gazette,"COOLING IT ON NORTH KOREA; LOOK AT WHAT EACH PLAYER IN THE GAME WANTS - AND RECOGNIZE THAT THE KIM REGIME WANTS, ABOVE ALL, TO SURVIVE",Dan Simpson,EDITORIAL; Pg. A-7,,1249 words,,,"September 6, 2017",ENGLISH,,,PHOTO: STR/AFP/Getty Images: Not all fun and games: An official photo from North Korea said to show leader Kim Jong Un watching a ballistic rocket launch last month.,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,North_Korea,China,Japan,United_States,South_Korea,Korean,weapon,president,try,country,go,Mr._Kim,nuclear,government,issue,economy,hand,leave,part,war,Russia,U.S.,DPRK,South_Koreans,South,nation,concern,americans,leader,problem,world,include,destruction,develop,approach,know,look,reunify,watch,continue,probably,general,capable,play,another,Washington,Korea,North_Koreans,quite,must,domestic,standard,live,state,far,behind,worth,cost,make,view,particularly,end,1945,fact,do,military,whatever,rule,behavior,hard,assure,regime,able,korea,troops,political,deal,russian,talk,region,mo,fewer,may,Northeast_Asia,Korean_War,Japanese,Kim,Korean_Peninsula,sixth,test,tiny,manage,preoccupy,security,council,profess,ability,deliver,matter
,12,11,10,9,8,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"September 18, 2017 Monday",257 of 294 DOCUMENTS,Pittsburgh Post-Gazette,TRUMP RETWEETS DOCTORED GIF OF HIS GOLF BALL HITTING HILLARY CLINTON,From wire services,NATIONAL; WASHINGTON ROUNDUP; Pg. A-5,,630 words,,,"September 19, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,Mr._Trump,president,time,retweet,tweet,Clinton,twitter,golf,ms,post,head,CNN,week,appear,sunday,show,ball,strike,hillary,imagery,former,trump,office,sense,humor,write,state,create,video,make,logo,man,leader,migration,immigration,friday,family,member,new,immigrant,bill,include,monument,accord,federal,coal,North_Korea,Trump,GIF,U.S.,big,general,assembly,visit,presidency,session,cusp,crucial,foreign,policy,decision,continue,provoke,fire,missile,plan,refine,overall,strategy,serious,work,beckon,morning,temptation,share,fan,gif,prove,much,resist,stoke,outrage,online,generating,"11,000",reply,many,condemned,promotion,violent,toward,lady,lifetime,protection,chip,away,dignity,know,stuff
,8,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 4, 2017 Wednesday",262 of 294 DOCUMENTS,Pittsburgh Post-Gazette,IT'S TIME TO SWEAR OFF TEAM JERSEYS,Brian O'Neill,LIFESTYLE; Pg. A-2,,694 words,,,"October 4, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,jersey,fan,wear,team,sport,name,another,think,time,play,already,go,late,way,money,ever,game,back,might,man,ago,feel,arena,look,we,sight,football,home,bonfire,anger,player,kneel,anthem,real,love,sunday,ask,life,drop,official,1990,well,street,clothes,become,ridiculous,friend,buy,pirate,add,give,need,Steelers,McDowell,stop,people,sounding,old,yell,hey,kid,lawn,long,almost,nobody,compel,head,ballpark,stadium,bar,daresay,better,leave,seriocomic,across,make,video,burn,memorabilia,least,festive,memory,national,god,baltimore,boo,last,prayer,announce,kindness,unity,equality,justice,americans,maybe,baltimoron,heckle,church,sense
,8,7,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2017 Saturday",266 of 294 DOCUMENTS,Pittsburgh Post-Gazette,AMERICA'S DISASTER,BEVERLY MORAN,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-8,,257 words,,,"October 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,Puerto_Rico,president,man,citizen,victim,must,enough,Katrina,Harvey,Irma,Mr._Trump,write,letter,opposition,something,do,every,topic,climate,change,writer,cramp,think,beyond,shocked,audacity,blame,amount,devastation,suffer,tell,fortunate,experience,real,catastrophe,throw,budget,little,whack,week,praising,administration,response,situation,worse,recently,suggest,next,time,find,direct,path,hurricane,try,push,island,way,though,impressed,ability,toss,roll,paper,towel,crowd,football,hope,sure,big,help,absorb,foot,water,mud,people,home,although,mayor,cordial,land,blatantly,snub,rest,visit,brave,angry,criticize,public,heart,prayer,go,shooting,mostly,refer,moran,penn,hill,Donald_Trump,Obamacare
,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 26, 2017 Thursday",269 of 294 DOCUMENTS,Pittsburgh Post-Gazette,CARNEGIE MUSEUM  OF NATURAL HISTORY EVOLVES; DIRECTOR STRIVES TO ENSURE RELEVANCE,"David Templeton, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,799 words,,,"October 27, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,museum,history,natural,book,science,focus,need,must,dorfman,explain,human,world,exhibit,future,relevant,modern,age,interest,many,can,move,forward,include,chapter,nature,global,attendance,old,important,director,time,make,rather,dead,gather,better,mr.,people,community,serve,require,technology,marketing,thing,inspire,public,become,way,culture,model,new,impact,Carnegie_Museum,Mr._Dorfman,museum_goers,cover,show,wood,floor,plank,sprig,emerge,forewarn,topic,something,metaphorical,sandpaper,polyurethane,title,provide,reference,point,return,second,conference,decide,put,belief,action,strive,pique,educate,entertain,continue,exist,zoo,worldwide,billion,item,collection,dust,warehous,storage,mo,essentially,perhaps,ironically,antiquate,use
,16,12,11,9,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2017 Thursday",271 of 294 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: ARTS & ENTERTAINMENT; MOVIE GUIDE; Pg. W-16,,,,1295 words,,,"November 3, 2017",ENGLISH,,,"PHOTO: ""A Bad Mom's Christmas"" features a comedic cast including Mila Kunis, Kristen Bell Kathryn Hahn.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,min,language,AMC_Loews,Century_Square,Tarentum,violence,Robinson,Phoenix_CV,sexual,content,Cinemark_Monroeville,Cranberry,Southside_Works,drug,nudity,North,material,waterwork,young,sexuality,NV,THE,story,***,woman,manor,brief,action,strong,runner,group,image,friday,throughout,life,disturbing,work,thor,must,time,home,sequence,movie,reference,thematic,Cinemark_Robinson,Cinemark_North,mom,christmas,follow,use,104,force,start,behavior,turn,violent,graphic,adventure,live,film,relationship,husband,find,former,ally,race,destroy,discover,115,blade,discovery,lead,horror,uncover,everything,nv,bloody,around,grisly,pg,mild,103,element,town,family,section,U.S.,Earth,Phoenix_NV,Cinemark_Tarentum,bad,three,rebel,challenge,expectation,crude,sacred,deer
,27,22,20,12,12,11,11,11,10,10,10,10,9,8,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"December 15, 2017 Friday",275 of 294 DOCUMENTS,Pittsburgh Post-Gazette,DEP TARGETS AIR POLLUTANTS TO COMBAT METHANE FROM EXISTING WELLS,"Laura Legere, Harrisburg Bureau",BUSINESS; Pg. B-1,,541 words,,,"December 15, 2017",ENGLISH,,,"PHOTO: Alex Brandon/Associated Press: A drilling rig is set up to tap gas from the Marcellus Shale gas field, near a barn in the Susquehanna County township of Springville, Pa., in 2011.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,well,gas,methane,exist,state,emission,shale,guideline,concept,leak,control,Pennsylvania,plan,natural,EPA,cut,greenhouse,directly,instead,implement,federal,benefit,reduce,site,equipment,thursday,strategy,leave,source,current,compound,2016,future,publish,2018,regulation,develop,use,drill,air,august,2013,october,tank,standard,recommendation,establish,smog_forming,VOCs,DEP,step,toward,thousand,target,department,pollutant,side,escape,type,accord,agency,outline,advisory,meeting,frustrated,environmental,group,concerned,many,uncheck,especially,region,carry,little,volatile,organic,trigger,propose,controls,focus,element,put,significantly,behind,lead,big,swath,mix,table,regulatory,affair,director,gov,tom,wolf,laid,curb,across,industry
,11,9,7,7,6,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2017 Friday",286 of 294 DOCUMENTS,Pittsburgh Post-Gazette,"STEEL, ENERGY STOCKS TOP PERFORMERS IN 2016","LEN BOSELOVIC, PITTSBURGH POST-GAZETTE",BUSINESS; TOP 50; Pg. 86,,398 words,,,"June 16, 2017",ENGLISH,,,PHOTO: Lake Fong/Post-Gazette Consol Energy offices in Cecil.\ \ CHART: TOP STOCKS/A Look At The Region's 50 Top-Performing Stocks in 2016,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,stock,top,2016,percent,steel,2015,performer,regional,energy,finish,producer,share,price,maker,ranking,Pittsburgh,advanced,none,climb,major,operation,rise,make,equipment,product,good,place,worst,gain,Steel,Cecil,No,Black_Box,energetically,biggest,slacker,previous,pace,356,advance,ak,close,second,jump,314,follow,131,benefite,drop,import,higher,oil,energize,well,include,stainless,titanium,three,decline,neither,heavy,joy,global,bombardier,transportation,four,finisher,treat,wood,kopper,rice,industry,supplier,tool,40th,49th,specialty,plastic,covestro,eligible,spun,rank,seventh,list,another,perennial,laggard,network,gear,provider,rebound,enough,11th,outside,reflect,performance,software,writer,banker
,10,10,9,8,6,6,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 2017 Monday",288 of 294 DOCUMENTS,Pittsburgh Post-Gazette,#LETSMAKEASEEN: STEEL SMILING,Natalie Bencivenga,LIFESTYLE; SEEN; Pg. WEB,,839 words,,,"September 7, 2017",ENGLISH,,,"PHOTO: Haley Nelson/Post-Gazette: Julius Boatwright, founder of Steel Smiling.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,people,community,mental,health,resource,provide,way,therapeutic,conversation,grow,process,connect,need,Mr._Boatwright,julius,boatwright,receive,serve,system,something,member,best,informal,support,have,moment,heal,Pittsburgh,Steel_Smiling,social,service,therapist,challenge,focus,provider,practice,goal,ongoing,organization,know,suicide,many,never,die,feel,try,real,smile,method,engagement,thing,walk,right,let,meet,meeting,make,model,give,hear,engage,growth,opportunity,start,Steel,African_American,ceo,license,worker,master,work,graduate,certificate,human,management,witness,brokenness,core,sure,digest,realization,hit,soon,recognize,call,create,institutionalize,barrier,underserved,launch,december,2015,online,initial,purpose,educational,platform,seek,identify
,9,8,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
