PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 5, 2017 Tuesday",102 of 294 DOCUMENTS,Pittsburgh Post-Gazette,RECOMMIT TO CLIMATE,GENE WATSON,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-8,,75 words,,,"September 5, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,climate,accord,GOP,U.S.,Paris,Mr._Trump,let,almost,unanimously,deny,change,president,campaign,pull,sen,ted,cruz,stand,open,palm,ask,assistance,penny,recommit,board,catastrophic,problem,move,away,fossil,fuel,accelerate,Donald_Trump,R_Texas,GENE,WATSON_Moon
,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2017 Monday",109 of 294 DOCUMENTS,Pittsburgh Post-Gazette,TRUMP'S PLANS FOR A STATE VISIT TO THE U.K. MAY BE UP IN THE AIR,From wire services,WORLD; FOREIGN POLICY ROUNDUP; Pg. A-6,,545 words,,,"June 13, 2017",ENGLISH,,,"PHOTO: Giorgio Benvenuti/ANSA via Associated Press: U.S. EPA chief Scott Pruitt sits at the round table at the opening of a two-day G-7 summit on the environment Sunday in Bologna, Italy.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,visit,president,minister,may,call,Mr._Trump,White_House,state,attack,official,report,prime,communique,climate,Guardian,U.S.,plan,later,mayor,june,people,administration,quote,go,make,accord,ms.,mo,schedule,cite,sunday,take,city,nation,agreement,issue,use,Britain,London,British,Mr._Khan,Bologna,appear,air,face,backlash,across,pond,criticism,sadiq,khan,immediate,aftermath,terrorist,eight,die,due,previous,comment,already,unpopular,sort,prompt,large,protest,newspaper,anonymous,source,recently,tell,theresa,phone,forward,support,recent,week,downing,street,adviser,room,write,statement,surprised,present,trump,golf,course,n.j.,weekend,definitively,rule,emphasize,possible,eventually,warm,idea,keep,best,way
,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 26, 2017 Wednesday",116 of 294 DOCUMENTS,Pittsburgh Post-Gazette,100 DAYS OF GRATITUDE: A PRESIDENTIAL REPORT,Reg Henry,LIFESTYLE; Pg. A-2,,713 words,,,"April 26, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,president,we,thing,little,americans,administration,people,paranoid,go,around,need,health,kid,chop,Mr._Grump,100,mo,walk,street,still,count,good,occur,start,war,time,new,best,fortunately,ship,soon,can,know,fog,job,sell,lecture,better,without,sort,air,fuel,fossil,grow,care,idea,media,cherry,tree,North_Korea,North,Korean,Australia,Chinese,many,greeting,weep,gnash,tooth,optimism,sunny,side,climate,temperate,enough,allow,today,let,inauguration,gloomy,moping,nuclear,yet,build,classic,1950,shelter,adopt,sensible,policy,counter,dictator,strange,haircut,basically,amount,shake,large,stick,forget,feel,maybe,visit,regular,barber,ever,try,person,neighborhood
,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2017 Saturday",134 of 294 DOCUMENTS,Pittsburgh Post-Gazette,WHAT'S IN THE SKY IN PITTSBURGH?; IT'S TIME FOR THE ANNUAL CHRISTMAS BIRD COUNT,John Hayes Pittsburgh Post-Gazette,OUTDOORS; Pg. D-1,,766 words,,,"December 18, 2017",ENGLISH,,,"PHOTO: Lake Fong/Post-Gazette: Barb Harman, left, of Penn Hills, Virginia McQuown of Fox Chapel and Sheree Daugherty of the North Side observe birds near the Latadomi Nature Center in North Park in December 2014 for the 115th year of the Christmas Bird Count. PHOTO: Audubon Society: Pittsburgh birders document many white-throated sparrows during the annual Christmas Bird Count, but the bird is here only in winter. PHOTO: Pam Panchak/Post-Gazette: Brady Porter, associate professor of biology at Duquesne University, center, leads a group surveying birds along Pine Creek in Hampton as part of the National Audubon Society's 112th Christmas Bird Count in 2011. PHOTO: Lake Fong/Post-Gazette: Two male cardinals sit on branches in North Park in December 2014, the 115th year of the Christmas Bird Count. PHOTO: Lake Fong/Post-Gazette: A Northern Mocking bird sits on a bird house in North Park in December 2014, the 115th year of the Christmas Bird Count. PHOTO: Lake Fong/Post-Gazette: Lake Fong/Post-Gazette 20141227. Local. standalone. Two male cardinals sit on branches in North Park. it is the 115th year of the Christmas Bird Count and the group takes part in the ongoing research to document winter birds in North Park. on Saturday, December 27, 2014.
PHOTO: Tony Tye/Post-Gazette: Erin Estell, a staffer at the National Aviary, looks for birds in the Pine Creek valley in Hampton as she takes part in the Audubon Society's annual Christmas bird count.",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,bird,data,count,site,number,use,audubon,participate,species,area,Audubon_Society,many,birder,take,weather,compare,information,circle,road,amateur,collect,set,new,record,expect,christmas,jan,people,include,national,collection,public,century,science,range,schedule,wildlife,population,conservation,accord,activity,related,hundred,city,north,historical,trend,change,climate,move,warmer,consider,resident,may,website,place,chapel,leader,date,Canada,Western_Pennsylvania,Pittsburgh,Mr._Shema,Christmas_Bird_Count,Fox,week,last,major,winter,storm,blanket,although,cancel,plan,cover,avoid,"76,669",observer,participation,sky,kinder,118th,annual,begin,thursday,run,southwestern,island,identify,document,every,predetermine,upload,analyze,combine,make,available,free,scientist
,18,13,11,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
